,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Thousands, except Per Share data, unless otherwise specified","Dec. 28, 2013","Dec. 29, 2012","Dec. 31, 2011"
0,Net sales,"$ 6,493,814","$ 6,205,003","$ 6,170,462"
1,"Cost of sales, including purchasing and warehousing costs",3241668,3106967,3101172
2,Gross profit,3252146,3098036,3069290
3,"Selling, general and administrative expenses",2591828,2440721,2404648
4,Operating income,660318,657315,664642
5,Interest expense,"(36,618)","(33,841)","(30,949)"
6,"Other income, net",2698,600,(457)
7,"Total other, net","(33,920)","(33,241)","(31,406)"
8,Income before provision for income taxes,626398,624074,633236
9,Provision for income taxes,234640,236404,238554
10,Net income,"$ 391,758","$ 387,670","$ 394,682"
11,Basic earnings per share,$ 5.36,$ 5.29,$ 5.21
12,Diluted earnings per share,$ 5.32,$ 5.22,$ 5.11
13,Dividends declared per common share,$ 0.24,$ 0.24,$ 0.24
14,Average common shares outstanding,72930,73091,75620
15,Average common shares outstanding - assuming dilution,73414,74062,77071
