,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2016"
0,Income Statement [Abstract],,,
1,Net revenues,"$ 32,753","$ 28,216","$ 25,638"
2,Cost of products sold,7718,7042,5832
3,"Selling, general and administrative",7399,6295,5881
4,Research and development,10329,5007,4385
5,Acquired in-process research and development,424,327,200
6,Other expenses,500,0,0
7,Total operating costs and expenses,26370,18671,16298
8,Operating earnings,6383,9545,9340
9,"Interest expense, net",1144,1004,965
10,Net foreign exchange loss,24,348,303
11,"Other expense, net",18,466,188
12,Earnings before income taxes,5197,7727,7884
13,Income tax expense (benefit),(490),2418,1931
14,Net earnings,"$ 5,687","$ 5,309","$ 5,953"
15,Per share data,,,
16,Basic earnings per share (in dollars per share),$ 3.67,$ 3.31,$ 3.65
17,Diluted earnings per share (in dollars per share),$ 3.66,$ 3.30,$ 3.63
18,Weighted-average basic shares outstanding (in shares),1541,1596,1622
19,Weighted-average diluted shares outstanding (in shares),1546,1603,1631
