,CONSOLIDATED INCOME STATEMENTS - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED INCOME STATEMENTS - USD ($)  $ in Thousands,"Aug. 31, 2024","Aug. 31, 2023","Aug. 31, 2022"
0,REVENUES:,,,
1,Revenues,"$ 64,896,464","$ 64,111,745","$ 61,594,305"
2,OPERATING EXPENSES:,,,
3,Cost of services,43734147,43380138,41892766
4,Sales and marketing,6846714,6582629,6108401
5,General and administrative costs,4281316,4275943,4225957
6,Business optimization costs,438440,1063146,0
7,Total operating expenses,55300617,55301856,52227124
8,OPERATING INCOME,9595847,8809889,9367181
9,Interest income,272256,280409,45133
10,Interest expense,"(58,969)","(47,525)","(47,320)"
11,"Other income (expense), net","(109,811)",96559,"(72,533)"
12,Loss on disposition of Russia business,0,0,"(96,294)"
13,INCOME BEFORE INCOME TAXES,9699323,9139332,9196167
14,Income tax expense,2280126,2135802,2207207
15,NET INCOME,7419197,7003530,6988960
16,Net income attributable to noncontrolling interests in Accenture Canada Holdings Inc.,"(7,198)","(7,204)","(7,348)"
17,Net income attributable to noncontrolling interests – other,"(147,212)","(124,769)","(104,443)"
18,NET INCOME ATTRIBUTABLE TO ACCENTURE PLC,"$ 7,264,787","$ 6,871,557","$ 6,877,169"
19,Weighted average Class A ordinary shares:,,,
20,Basic (in shares),627852613,630608186,632762710
21,Diluted (in shares),635940044,638591616,642839181
22,Earnings per Class A ordinary share:,,,
23,Basic (in dollars per share),$ 11.57,$ 10.90,$ 10.87
24,Diluted (in dollars per share),11.44,10.77,10.71
25,Cash dividends per share (in dollars per share),$ 5.16,$ 4.48,$ 3.88
