,"Consolidated Statements Of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified",6 Months Ended,6 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements Of Earnings (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2013","Dec. 31, 2012","Jun. 30, 2012","Jun. 30, 2011"
0,Income Statement [Abstract],,,,,,
1,Revenues,"$ 46,729","$ 45,208","$ 89,804","$ 90,559","$ 89,038","$ 80,676"
2,Cost of products sold,44927,43361,85915,86936,85370,76376
3,Gross Profit,1802,1847,3889,3623,3668,4300
4,"Selling, general and administrative expenses",869,830,1759,1665,1626,1611
5,"Asset impairment, exit, and restructuring costs",146,352,259,243,449,
6,Interest expense,213,209,413,445,441,482
7,Equity in earnings of unconsolidated affiliates,(255),(251),(411),(476),(472),(542)
8,Interest income,(59),(62),(102),(109),(112),(136)
9,Other (income) expense - net,(109),(12),(53),(126),(29),(130)
10,Earnings Before Income Taxes,997,781,2024,1981,1765,3015
11,Income taxes,303,237,670,589,523,997
12,Net Earnings Including Noncontrolling Interests,694,544,1354,1392,1242,2018
13,Less: Net earnings (losses) attributable to noncontrolling interests,2,4,12,17,19,(18)
14,Net Earnings Attributable to Controlling Interests,$ 692,$ 540,"$ 1,342","$ 1,375","$ 1,223","$ 2,036"
15,Average number of shares outstanding - basic,660,669,661,660,665,642
16,Average number of shares outstanding - diluted,661,670,663,662,666,654
17,Basic earnings per common share (dollars per share),$ 1.05,$ 0.81,$ 2.03,$ 2.08,$ 1.84,$ 3.17
18,Diluted earnings per common share (dollars per share),$ 1.05,$ 0.81,$ 2.02,$ 2.08,$ 1.84,$ 3.13
