,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data","Jun. 30, 2010","Jun. 30, 2009","Jun. 30, 2008"
0,Net sales and other operating income,"$ 61,682","$ 69,207","$ 69,816"
1,Cost of products sold,57839,65118,65974
2,Gross Profit,3843,4089,3842
3,"Selling, general and administrative expenses",1398,1412,1419
4,Other (income) expense - net,(140),177,(171)
5,Earnings Before Income Taxes,2585,2500,2594
6,Income taxes,666,812,808
7,Net Earnings Including Noncontrolling Interests,1919,1688,1786
8,Less: Net earnings (losses) attributable to noncontrolling interests,(11),4,6
9,Net Earnings Attributable to Controlling Interests,"$ 1,930","$ 1,684","$ 1,780"
10,Average number of shares outstanding - basic (in shares),643,643,644
11,Average number of shares outstanding - diluted (in shares),644,644,646
12,Basic earnings per common share (in dollars per share),$ 3.00,$ 2.62,$ 2.76
13,Diluted earnings per common share (in dollars per share),$ 3.00,$ 2.62,$ 2.75
