,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
0,REVENUES:,,,
1,Rental and other property revenues,"$ 956,954","$ 952,831","$ 939,231"
2,Tax credit and asset management revenues,24356,31532,34822
3,Total revenues,981310,984363,974053
4,OPERATING EXPENSES:,,,
5,Property operating expenses,359393,373654,375710
6,Investment management expenses,5855,7310,4341
7,Depreciation and amortization,306301,282608,291910
8,Provision for real estate impairment losses,0,1820,0
9,General and administrative expenses,43178,44092,45670
10,"Other expenses, net",10368,12529,7403
11,Total operating expenses,725095,722013,725034
12,Operating income,256215,262350,249019
13,Interest income,6949,6878,17943
14,Interest expense,"(199,685)","(220,971)","(237,048)"
15,"Other, net",387,(829),2723
16,Income before income taxes and discontinued operations,63866,47428,32637
17,Income tax benefit,27524,20047,1959
18,Income from continuing operations,91390,67475,34596
19,"Income from discontinued operations, net of tax (Note 12)",0,0,203229
20,"Gain on dispositions of real estate, net of tax (Note 12)",180593,288636,0
21,Net income,271983,356111,237825
22,Noncontrolling interests:,,,
23,Net income attributable to noncontrolling interests in consolidated real estate partnerships,"(4,776)","(24,595)","(12,473)"
24,Net income attributable to preferred noncontrolling interests in Aimco Operating Partnership,"(6,943)","(6,497)","(6,423)"
25,Net income attributable to common noncontrolling interests in Aimco Operating Partnership,"(11,554)","(15,770)","(11,639)"
26,Net income attributable to noncontrolling interests,"(23,273)","(46,862)","(30,535)"
27,Net income attributable to the company,248710,309249,207290
28,Net income attributable to the company's preferred equityholders,"(11,794)","(7,947)","(2,804)"
29,Net income attributable to participating securities,(950),"(1,082)",(813)
30,Net income attributable to the company's common equityholders,"$ 235,966","$ 300,220","$ 203,673"
31,Earnings attributable to the company's common equityholders - basic and diluted:,,,
32,Income from continuing operations,$ 1.52,$ 2.06,$ 0.29
33,Income from discontinued operations,0.00,0.00,1.11
34,Net income,$ 1.52,$ 2.06,$ 1.40
35,Weighted average common shares/units outstanding - basic,155177,145639,145291
36,Weighted average common shares/units outstanding - diluted,155570,146002,145532
37,"AIMCO PROPERTIES, L.P.",,,
38,REVENUES:,,,
39,Rental and other property revenues,"$ 956,954","$ 952,831","$ 939,231"
40,Tax credit and asset management revenues,24356,31532,34822
41,Total revenues,981310,984363,974053
42,OPERATING EXPENSES:,,,
43,Property operating expenses,359393,373654,375710
44,Investment management expenses,5855,7310,4341
45,Depreciation and amortization,306301,282608,291910
46,Provision for real estate impairment losses,0,1820,0
47,General and administrative expenses,43178,44092,45670
48,"Other expenses, net",10368,12529,7403
49,Total operating expenses,725095,722013,725034
50,Operating income,256215,262350,249019
51,Interest income,6949,6878,17943
52,Interest expense,"(199,685)","(220,971)","(237,048)"
53,"Other, net",387,(829),2723
54,Income before income taxes and discontinued operations,63866,47428,32637
55,Income tax benefit,27524,20047,1959
56,Income from continuing operations,91390,67475,34596
57,"Income from discontinued operations, net of tax (Note 12)",0,0,203229
58,"Gain on dispositions of real estate, net of tax (Note 12)",180593,288636,0
59,Net income,271983,356111,237825
60,Noncontrolling interests:,,,
61,Net income attributable to noncontrolling interests in consolidated real estate partnerships,"(4,776)","(24,595)","(12,473)"
62,Net income attributable to the company,267207,331516,225352
63,Net income attributable to the company's preferred equityholders,"(18,737)","(14,444)","(9,227)"
64,Net income attributable to participating securities,(950),"(1,082)",(813)
65,Net income attributable to the company's common equityholders,"$ 247,520","$ 315,990","$ 215,312"
66,Earnings attributable to the company's common equityholders - basic and diluted:,,,
67,Income from continuing operations,$ 1.52,$ 2.06,$ 0.29
68,Income from discontinued operations,0.00,0.00,1.11
69,Net income,$ 1.52,$ 2.06,$ 1.40
70,Weighted average common shares/units outstanding - basic,162834,153363,153256
71,Weighted average common shares/units outstanding - diluted,163227,153726,153497
