,0,1,2,3,4
0,[1],See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.,,,
1,Consolidated Statement of Earnings - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statement of Earnings - USD ($)  $ in Millions,"Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2017"
3,Revenues before reimbursements,"$ 7,056.4","$ 6,792.4","$ 6,113.0",
4,Total revenues,7195.0,6934.0,6249.0,
5,Compensation,3339.5,3026.3,2747.4,
6,Operating,1068.5,903.7,829.1,
7,Reimbursements,138.6,141.6,136.0,
8,Cost of revenues from clean coal activities,1352.8,1816.0,1635.9,
9,Interest,179.8,138.4,124.1,
10,Depreciation,140.4,127.8,121.1,
11,Amortization,334.0,291.2,264.7,
12,Change in estimated acquisition earnout payables,15.3,9.6,30.9,
13,Total expenses,6568.9,6454.6,5889.2,
14,Earnings before income taxes,626.1,479.4,359.8,
15,Benefit for income taxes,(89.7),(196.5),(157.1),
16,Net earnings,715.8,675.9,516.9,
17,Net earnings attributable to noncontrolling interests,47.0,42.4,35.6,
18,Net earnings attributable to controlling interests,$ 668.8,$ 633.5,$ 481.3,[1]
19,Basic net earnings per share,$ 3.60,$ 3.47,$ 2.67,[1]
20,Diluted net earnings per share,3.52,3.40,2.64,[1]
21,Dividends declared per common share,$ 1.72,$ 1.64,$ 1.56,
22,Commissions [Member],,,,
23,Total revenues,"$ 3,320.6","$ 2,920.7","$ 2,641.0",
24,Broker Fees [Member],,,,
25,Total revenues,1911.1,1756.3,1591.9,
26,Supplemental Revenue Member [Member],,,,
27,Total revenues,210.5,189.9,158.0,
28,Contingent Revenue [Member],,,,
29,Total revenues,135.6,98.0,99.5,
30,Investment income [Member],,,,
31,Total revenues,86.9,70.1,58.7,
32,Gains On Divestitures [Member],,,,
33,Total revenues,75.3,10.2,3.4,
34,Clean Coal Activities [Member],,,,
35,Total revenues,1319.3,1746.3,1560.5,
36,Other net gains [Member],,,,
37,Total revenues,(2.9),0.9,,
38,Reimbursements [Member],,,,
39,Total revenues,$ 138.6,$ 141.6,$ 136.0,
40,,,,,
41,[1] See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.,[1] See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.,[1] See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.,[1] See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.,[1] See Note 3 - Revenues from Contracts with Customers for additional information about the restatements related to Topic 606.
