,0,1,2,3,4,5,6
0,[1],"No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.",,,,,
1,[2],"See Note 19, “Special Items.”",,,,,
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
3,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011"
4,Net sales,"$ 2,616,416",[1],"$ 2,745,420",[1],"$ 2,869,005",[1]
5,Cost of goods sold,1755011,,1835425,,1914058,
6,Gross profit,861405,,909995,,954947,
7,"Selling, general and administrative expenses",162889,,313227,,360070,
8,Research and development expenses,82246,,78919,,77083,
9,"Restructuring and other charges, net (Note 19)",33361,[2],111685,[2],0,[2]
10,Operating profit,582909,,406164,,517794,
11,Interest and financing expenses,"(31,559)",,"(32,800)",,"(37,574)",
12,"Other (expenses) income, net","(6,923)",,1229,,357,
13,Income before income taxes and equity in net income of unconsolidated investments,544427,,374593,,480577,
14,Income tax expense,136322,,82533,,104134,
15,Income before equity in net income of unconsolidated investments,408105,,292060,,376443,
16,Equity in net income of unconsolidated investments (net of tax),31729,,38067,,43754,
17,Net income,439834,,330127,,420197,
18,Net income attributable to noncontrolling interests,"(26,663)",,"(18,591)",,"(28,083)",
19,Net income attributable to Albemarle Corporation,"$ 413,171",,"$ 311,536",,"$ 392,114",
20,Basic earnings per share (in dollars per share),$ 4.93,,$ 3.49,,$ 4.33,
21,Diluted earnings per share (in dollars per share),$ 4.90,,$ 3.47,,$ 4.28,
22,Weighted-average common shares outstanding-basic,83839,,89189,,90522,
23,Weighted-average common shares outstanding-diluted,84322,,89884,,91522,
24,Cash dividends declared per share of common stock (in dollars per share),$ 0.96,,$ 0.80,,$ 0.67,
25,,,,,,,
26,"[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”","[1]  No sales in a foreign country exceed 10% of total net sales. Also, net sales are attributed to countries based upon shipments to final destination.  [2]  See Note 19, “Special Items.”"
