,0,1,2,3,4
0,[1],2 Long-lived assets are attributed to countries based on entity that owns the assets.,,,
1,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
3,Income Statement [Abstract],,,,
4,Net revenues,[1],"$ 845,486","$ 761,653","$ 660,206"
5,Cost of revenues,,205376,183210,162100
6,Gross profit,,640110,578443,498106
7,Operating expenses:,,,,
8,"Selling, general and administrative",,390239,332068,292798
9,Research and development,,61237,52799,44083
10,Impairment of goodwill,,0,0,40693
11,Impairment of long lived assets,,0,0,26320
12,Total operating expenses,,451476,384867,403894
13,Income from operations,,188634,193576,94212
14,"Interest and other income (expense), net",,"(2,533)","(3,207)","(1,073)"
15,Net income before provision for income taxes,,186101,190369,93139
16,Provision for income taxes,,42081,44537,28844
17,Net income,,"$ 144,020","$ 145,832","$ 64,295"
18,Net income per share:,,,,
19,Basic (usd per share),,$ 1.80,$ 1.81,$ 0.80
20,Diluted (usd per share),,$ 1.77,$ 1.77,$ 0.78
21,Shares used in computing net income per share:,,,,
22,Basic (shares),,79998,80754,80551
23,Diluted (shares),,81521,82283,82589
24,,,,,
25,[1] 2 Long-lived assets are attributed to countries based on entity that owns the assets.,[1] 2 Long-lived assets are attributed to countries based on entity that owns the assets.,[1] 2 Long-lived assets are attributed to countries based on entity that owns the assets.,[1] 2 Long-lived assets are attributed to countries based on entity that owns the assets.,
