,"Consolidated Statement of Income - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statement of Income - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,Income Statement [Abstract],,,
1,Net sales,"$ 6,596,950","$ 6,150,530","$ 5,546,514"
2,Cost of sales,4212485,4005261,3633900
3,"Selling, general and administrative",677006,644577,603944
4,Total operating expenses,4889491,4649838,4237844
5,Operating income,1707459,1500692,1308670
6,Interest expense,"(81,795)","(83,186)","(80,381)"
7,"Other (expense) income, net","(19,252)",11186,"(5,119)"
8,Total,1606412,1428692,1223170
9,Provision for income taxes,293224,269150,233117
10,Net income,"$ 1,313,188","$ 1,159,542","$ 990,053"
11,Basic earnings per share (in USD per share),$ 5.70,$ 5.04,$ 4.29
12,Diluted earnings per share (in USD per share),$ 5.67,$ 5.01,$ 4.25
13,Weighted average common shares outstanding:,,,
14,Basic shares,230519,230208,230955
15,Diluted shares,231509,231536,232813
