,"Consolidated Statement of Income (USD $) In Thousands, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statement of Income (USD $) In Thousands, except Per Share data","Dec. 31, 2009","Dec. 31, 2009.1","Dec. 31, 2008","Dec. 31, 2008.1","Dec. 31, 2007","Dec. 31, 2007.1"
0,Consolidated Statement of Income [Abstract],,,,,,
1,Net sales,"$ 2,098,355","$ 2,098,355","$ 2,531,135","$ 2,531,135","$ 2,136,850","$ 2,136,850"
2,Operating expenses:,,,,,,
3,"Cost of sales, excluding depreciation",1435953,1435953,1730086,1730086,1444514,1444514
4,"Selling, general and administrative",254143,254143,322552,322552,263472,263472
5,Depreciation,42209,42209,45843,45843,42290,42290
6,Total operating expenses,1732305,1732305,2098481,2098481,1750276,1750276
7,Operating income,366050,366050,432654,432654,386574,386574
8,Other expenses:,,,,,,
9,Interest expense,"(68,750)","(68,750)","(63,652)","(63,652)","(46,866)","(46,866)"
10,"Other, net","(2,667)","(2,667)","(2,786)","(2,786)","(3,264)","(3,264)"
11,Income before income taxes,294633,294633,366216,366216,336444,336444
12,Provision for income taxes,88863,88863,119264,119264,108424,108424
13,Net income,"$ 205,770","$ 205,770","$ 246,952","$ 246,952","$ 228,020","$ 228,020"
14,Basic earnings per share,$ 1.93,$ 1.93,$ 2.33,$ 2.33,$ 2.15,$ 2.15
15,Diluted earnings per share,$ 1.91,$ 1.91,$ 2.3,$ 2.3,$ 2.12,$ 2.12
16,Weighted average common shares outstanding:,,,,,,
17,Basic shares,106788,106788,106148,106148,105832,105832
18,Diluted shares,107850,107850,107443,107443,107580,107580
