,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2022","Dec. 31, 2021","Dec. 31, 2020"
0,Revenues:,,,
1,Total revenues,"$ 26,323","$ 25,979","$ 25,424"
2,Operating expenses:,,,
3,Cost of sales,6406,6454,6159
4,Research and development,4434,4819,4207
5,Acquired in-process research and development,0,1505,0
6,"Selling, general and administrative",5414,5368,5730
7,Other,503,194,189
8,Total operating expenses,16757,18340,16285
9,Operating income,9566,7639,9139
10,"Interest expense, net","(1,406)","(1,197)","(1,262)"
11,"Other (expense) income, net",(814),259,256
12,Income before income taxes,7346,6701,8133
13,Provision for income taxes,794,808,869
14,Net income,"$ 6,552","$ 5,893","$ 7,264"
15,Earnings per share:,,,
16,Basic (in usd per share),$ 12.18,$ 10.34,$ 12.40
17,Diluted (in usd per share),$ 12.11,$ 10.28,$ 12.31
18,Shares used in the calculation of earnings per share:,,,
19,Basic (in shares),538,570,586
20,Diluted (in shares),541,573,590
21,Product sales,,,
22,Revenues:,,,
23,Total revenues,"$ 24,801","$ 24,297","$ 24,240"
24,Other revenues,,,
25,Revenues:,,,
26,Total revenues,"$ 1,522","$ 1,682","$ 1,184"
