,"Consolidated Statements of Operations - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,Total net sales,"$ 574,785","$ 513,983","$ 469,822"
1,Operating expenses:,,,
2,Cost of sales,304739,288831,272344
3,Fulfillment,90619,84299,75111
4,Technology and infrastructure,85622,73213,56052
5,Sales and marketing,44370,42238,32551
6,General and administrative,11816,11891,8823
7,"Other operating expense (income), net",767,1263,62
8,Total operating expenses,537933,501735,444943
9,Operating income,36852,12248,24879
10,Interest income,2949,989,448
11,Interest expense,"(3,182)","(2,367)","(1,809)"
12,"Other income (expense), net",938,"(16,806)",14633
13,Total non-operating income (expense),705,"(18,184)",13272
14,Income (loss) before income taxes,37557,"(5,936)",38151
15,Benefit (provision) for income taxes,"(7,120)",3217,"(4,791)"
16,"Equity-method investment activity, net of tax",(12),(3),4
17,Net income (loss),"$ 30,425","$ (2,722)","$ 33,364"
18,Basic earnings per share (in dollars per share),$ 2.95,$ (0.27),$ 3.30
19,Diluted earnings per share (in dollars per share),$ 2.90,$ (0.27),$ 3.24
20,Weighted-average shares used in computation of earnings per share:,,,
21,Basic (in shares),10304,10189,10117
22,Diluted (in shares),10492,10189,10296
23,Net product sales,,,
24,Total net sales,"$ 255,887","$ 242,901","$ 241,787"
25,Net service sales,,,
26,Total net sales,"$ 318,898","$ 271,082","$ 228,035"
