,0,1,2,3,4,5,6
0,[1],"Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.",,,,,
1,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011"
3,Revenue,,,,,,
4,"Commissions, fees and other","$ 11,787",,"$ 11,476",,"$ 11,235",
5,Fiduciary investment income,28,,38,,52,
6,Total revenue,11815,,11514,,11287,
7,Expenses,,,,,,
8,Compensation and benefits,6945,,6709,,6567,
9,Other general expenses,3199,,3209,,3124,
10,Total operating expenses,10144,,9918,,9691,
11,Operating income,1671,,1596,,1596,
12,Interest income,9,,10,,18,
13,Interest expense,(210),,(228),,(245),
14,Other income,68,,2,,19,
15,Income before income taxes,1538,,1380,,1388,
16,Income taxes,390,,360,,378,
17,Net income,1148,,1020,,1010,
18,Less: Net income attributable to noncontrolling interests,35,,27,,31,
19,Net income attributable to Aon shareholders,"$ 1,113",,$ 993,,$ 979,
20,Basic net income per share attributable to Aon shareholders (in dollars per share),$ 3.57,,$ 3.02,,$ 2.92,
21,Diluted net income per share attributable to Aon shareholders (in dollars per share),$ 3.53,,$ 2.99,,$ 2.87,
22,Cash dividends per share paid on ordinary shares (in dollars per share),$ 0.68,,$ 0.62,,$ 0.60,
23,Weighted average ordinary shares outstanding - basic (in shares),311.4,[1],328.5,[1],335.5,[1]
24,Weighted average ordinary shares outstanding - diluted (in shares),315.4,,332.6,,340.9,
25,,,,,,,
26,"[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively.","[1]  Includes 3.9 million, 4.7 million and 7.6 million shares of participating securities for the years ended December 31, 2013, 2012, and 2011 respectively."
