,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Revenue,,,
1,"Commissions, fees and other","$ 11,476","$ 11,235","$ 8,457"
2,Fiduciary investment income,38,52,55
3,Total revenue,11514,11287,8512
4,Expenses,,,
5,Compensation and benefits,6709,6567,5097
6,Other general expenses,3209,3124,2171
7,Total operating expenses,9918,9691,7268
8,Operating income,1596,1596,1244
9,Interest income,10,18,15
10,Interest expense,(228),(245),(182)
11,Other income (expense),3,15,(18)
12,Income from continuing operations before income taxes,1381,1384,1059
13,Income taxes,360,378,300
14,Income from continuing operations,1021,1006,759
15,(Loss) income from discontinued operations before income taxes,(1),5,(39)
16,Income taxes (benefit),,1,(12)
17,(Loss) income from discontinued operations,(1),4,(27)
18,Net income,1020,1010,732
19,Less: Net income attributable to noncontrolling interests,27,31,26
20,Net income attributable to Aon shareholders,993,979,706
21,Net income attributable to Aon shareholders,,,
22,Income from continuing operations,994,975,733
23,(Loss) income from discontinued operations,(1),4,(27)
24,Net income,$ 993,$ 979,$ 706
25,Basic net income (loss) per share attributable to Aon shareholders,,,
26,Continuing operations (in dollars per share),$ 3.03,$ 2.91,$ 2.50
27,Discontinued operations (in dollars per share),,$ 0.01,$ (0.09)
28,Net income (in dollars per share),$ 3.03,$ 2.92,$ 2.41
29,Diluted net income (loss) per share attributable to Aon shareholders,,,
30,Continuing operations (in dollars per share),$ 2.99,$ 2.86,$ 2.46
31,Discontinued operations (in dollars per share),,$ 0.01,$ (0.09)
32,Net income (in dollars per share),$ 2.99,$ 2.87,$ 2.37
33,Cash dividends per share paid on ordinary shares (in dollars per share),$ 0.62,$ 0.60,$ 0.60
34,Weighted average ordinary shares outstanding - basic (in shares),328.5,335.5,293.4
35,Weighted average ordinary shares outstanding - diluted (in shares),332.6,340.9,298.1
