,0,1,2,3,4
0,[1],"Earnings per share amounts are calculated discretely and, therefore, may not add up to the total due to rounding.",,,
1,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
2,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,"Dec. 31, 2022","Dec. 31, 2021","Dec. 31, 2020"
3,Income Statement [Abstract],,,,
4,Net sales,,"$ 3,753.9","$ 3,538.9","$ 2,895.3"
5,Cost of products sold,,2424.3,2228.0,1787.1
6,Gross profit,,1329.6,1310.9,1108.2
7,"Selling, general and administrative expenses",,670.9,701.4,660.3
8,Severance and restructuring expenses,,0.0,0.0,7.7
9,Interest expense,,9.4,4.3,7.3
10,"Other expense (income), net",,425.6,(20.4),(11.0)
11,Earnings before provision for income taxes,,223.7,625.6,443.9
12,(Benefit from) provision for income taxes,,(12.0),138.5,99.0
13,Net Earnings,,$ 235.7,$ 487.1,$ 344.9
14,Net Earnings Per Share of Common Stock (in dollars per share),[1],$ 1.52,$ 3.05,$ 2.13
15,Diluted Net Earnings Per Share of Common Stock (in dollars per share),[1],$ 1.51,$ 3.02,$ 2.12
16,,,,,
17,"[1] Earnings per share amounts are calculated discretely and, therefore, may not add up to the total due to rounding.","[1] Earnings per share amounts are calculated discretely and, therefore, may not add up to the total due to rounding.","[1] Earnings per share amounts are calculated discretely and, therefore, may not add up to the total due to rounding.","[1] Earnings per share amounts are calculated discretely and, therefore, may not add up to the total due to rounding.",
