,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED STATEMENT OF EARNINGS - USD ($)  $ in Millions,"Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015"
0,Net sales,"$ 2,996.7","$ 2,685.9","$ 2,536.5"
1,Cost of products sold,1758.0,1566.6,1526.7
2,Gross profit,1238.7,1119.3,1009.8
3,"Selling, general and administrative expenses",718.2,658.9,610.7
4,Interest expense,10.1,7.3,7.4
5,Other income - net,(10.4),(9.4),(10.8)
6,Earnings before provision for income taxes,520.8,462.5,402.5
7,Provision for income taxes,224.3,136.0,119.6
8,Net Earnings,$ 296.5,$ 326.5,$ 282.9
9,Net Earnings Per Share of Common Stock,$ 1.72,$ 1.87,$ 1.59
10,Diluted Net Earnings Per Share of Common Stock,$ 1.70,$ 1.85,$ 1.58
