,"Consolidated Statements of Income (USD $) In Thousands, except Share data",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income (USD $) In Thousands, except Share data","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2008"
0,Net sales,"$ 3,554,101","$ 2,820,065","$ 3,236,471"
1,Cost of sales,2395873,1933511,2187318
2,Gross profit,1158228,886554,1049153
3,"Selling, general and administrative expenses",457871,397641,416914
4,Operating income,700357,488913,632239
5,Interest expense,"(40,741)","(36,586)","(39,627)"
6,Early extinguishment of interest rate swaps,,"(4,575)",
7,"Other income (expense), net",4072,"(1,225)",(32)
8,Income before income taxes,663688,446527,592580
9,Provision for income taxes,"(161,275)","(119,311)","(163,003)"
10,Net income,502413,327216,429577
11,Less: Net income attributable to noncontrolling interests,"(6,008)","(9,382)","(10,426)"
12,Net income attributable to Amphenol Corporation,"$ 496,405","$ 317,834","$ 419,151"
13,Net income per common share - Basic (in dollars per share),$ 2.86,$ 1.85,$ 2.39
14,Weighted average common shares outstanding - Basic (in shares),173785650,171607643,175663797
15,Net income per common share - Diluted (in dollars per share),$ 2.82,$ 1.83,$ 2.34
16,Weighted average common shares outstanding - Diluted (in shares),176325993,173941752,178813013
17,Dividends declared per common share (in dollars per share),$ 0.06,$ 0.06,$ 0.06
