,Consolidated Statements of Income - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Income - USD ($)  $ in Thousands,"Dec. 31, 2022","Dec. 31, 2021","Dec. 31, 2020"
0,Income from rentals,"$ 2,588,962","$ 2,114,150","$ 1,885,637"
1,Expenses:,,,
2,Rental operations,783153,623555,530224
3,General and administrative,177278,151461,133341
4,Interest,94203,142165,171609
5,Depreciation and amortization,1002146,821061,698104
6,Impairment of real estate,64969,52675,48078
7,Loss on early extinguishment of debt,3317,67253,60668
8,Total expenses,2125066,1858170,1642024
9,Equity in earnings of unconsolidated real estate joint ventures,645,12255,8148
10,Investment (loss) income,"(331,758)",259477,421321
11,Gain on sales of real estate,537918,126570,154089
12,Net income,670701,654282,827171
13,Net income attributable to noncontrolling interests,"(149,041)","(83,035)","(56,212)"
14,"Net income attributable to Alexandria Real Estate Equities, Inc.’s stockholders",521660,571247,770959
15,Net income attributable to unvested restricted stock awards,"(8,392)","(7,848)","(10,168)"
16,"Net income attributable to Alexandria Real Estate Equities, Inc.’s common stockholders","$ 513,268","$ 563,399","$ 760,791"
17,Earnings per share - basic (USD per share),$ 3.18,$ 3.83,$ 6.03
18,Earnings per share - diluted (USD per share),$ 3.18,$ 3.82,$ 6.01
19,Income from rentals,,,
20,Income from rentals,"$ 2,576,040","$ 2,108,249","$ 1,878,208"
21,Other income,,,
22,Income from rentals,"$ 12,922","$ 5,901","$ 7,429"
