,Consolidated Statements of Income - USD ($)  $ in Thousands,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Income - USD ($)  $ in Thousands,"Dec. 31, 2019","Sep. 30, 2019","Jun. 30, 2019","Mar. 31, 2019","Dec. 31, 2018","Sep. 30, 2018","Jun. 30, 2018","Mar. 31, 2018","Dec. 31, 2019","Dec. 31, 2018","Dec. 31, 2017"
0,Revenues,"$ 408,114","$ 390,484","$ 373,856","$ 358,842","$ 340,463","$ 341,823","$ 325,034","$ 320,139","$ 1,531,296","$ 1,327,459","$ 1,128,097"
1,Expenses:,,,,,,,,,,,
2,Rental operations,,,,,,,,,445492,381120,325609
3,General and administrative,,,,,,,,,108823,90405,75009
4,Interest,,,,,,,,,173675,157495,128645
5,Depreciation and amortization,,,,,,,,,544612,477661,416783
6,Impairment of real estate,,,,,,,,,12334,6311,203
7,Loss on early extinguishment of debt,,,,,,,,,47570,1122,3451
8,Total expenses,,,,,,,,,1332506,1114114,949700
9,Equity in earnings (losses) of unconsolidated real estate joint ventures,,,,,,,,,10136,43981,15426
10,Investment income,,,,,,,,,194647,136763,0
11,Gain on sales of real estate – rental properties,,,,,,,,,474,8704,270
12,Gain on sales of real estate - land parcels,,,,,,,,,0,0,111
13,Net income (loss),,,,,,,,,404047,402793,194204
14,Net income attributable to noncontrolling interest,,,,,,,,,"(40,882)","(23,481)","(25,111)"
15,"Net income (loss) attributable to Alexandria Real Estate Equities, Inc.'s stockholders",,,,,,,,,363165,379312,169093
16,Dividends on preferred stock,,,,,,,,,"(3,204)","(5,060)","(7,666)"
17,Preferred stock redemption charge,,,,,,,,,"(2,580)","(4,240)","(11,279)"
18,Net income attributable to unvested restricted stock awards,,,,,,,,,"(6,386)","(6,029)","(4,753)"
19,"Net Income (loss) attributable to Alexandria Real Estate Equities, Inc.'s common stockholders","$ 199,618","$ (49,773)","$ 76,330","$ 123,598","$ (31,740)","$ 208,940","$ 52,016","$ 132,387","$ 350,995","$ 363,983","$ 145,395"
20,Earnings per share attributable to Alexandria's common stockholders - basic and diluted,,,,,,,,,,,
21,Earnings per share - basic (USD per share),$ 1.75,$ (0.44),$ 0.68,$ 1.11,$ (0.30),$ 2.01,$ 0.51,$ 1.33,$ 3.13,$ 3.53,$ 1.59
22,Earnings per share - diluted (USD per share),$ 1.74,$ (0.44),$ 0.68,$ 1.11,$ (0.30),$ 1.99,$ 0.51,$ 1.32,$ 3.12,$ 3.52,$ 1.58
23,Income from rentals,,,,,,,,,,,
24,Revenues,,,,,,,,,"$ 1,516,864","$ 1,314,781","$ 1,122,325"
25,Other income,,,,,,,,,,,
26,Revenues,,,,,,,,,"$ 14,432","$ 12,678","$ 5,772"
