,0,1,2,3,4
0,[1],(1) Earnings per share is calculated using unrounded numbers. Amounts in the table may not recalculate exactly due to rounding.,,,
1,"Consolidated Statements of Comprehensive Income - USD ($)  shares in Thousands, $ in Millions","Consolidated Statements of Comprehensive Income - USD ($)  shares in Thousands, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Comprehensive Income - USD ($)  shares in Thousands, $ in Millions","Consolidated Statements of Comprehensive Income - USD ($)  shares in Thousands, $ in Millions","Aug. 31, 2023","Aug. 31, 2022","Aug. 31, 2021"
3,Income Statement [Abstract],,,,
4,Net sales,,"$ 3,952.2","$ 4,006.1","$ 3,461.0"
5,Cost of products sold,,2239.0,2333.4,1986.0
6,Gross profit,,1713.2,1672.7,1475.0
7,"Selling, distribution, and administrative expenses",,1212.9,1163.0,1044.1
8,Special charges,,26.9,0.0,3.3
9,Operating profit,,473.4,509.7,427.6
10,Other expense:,,,,
11,"Interest expense, net",,18.9,24.9,23.2
12,"Miscellaneous expense (income), net",,7.8,(9.1),8.2
13,Total other expense,,26.7,15.8,31.4
14,Income before income taxes,,446.7,493.9,396.2
15,Income tax expense,,100.7,109.9,89.9
16,Net income,,$ 346.0,$ 384.0,$ 306.3
17,Earnings per share,,,,
18,Basic earnings per share (in dollars per share),[1],$ 10.88,$ 11.23,$ 8.44
19,Basic weighted average number of shares outstanding (in shares),,31806,34182,36284
20,Diluted earnings per share (in dollars per share),[1],$ 10.76,$ 11.08,$ 8.38
21,Diluted weighted average number of shares outstanding (in shares),,32164,34645,36554
22,Dividends declared per share (in dollars per share),,$ 0.52,$ 0.52,$ 0.52
23,Comprehensive income:,,,,
24,Net income,,$ 346.0,$ 384.0,$ 306.3
25,"Other comprehensive income (loss) items, net of tax:",,,,
26,Foreign currency translation adjustments,,8.5,(33.3),13.3
27,Defined benefit plans,,4.7,5.7,21.2
28,"Other comprehensive income (loss) items, net of tax",,13.2,(27.6),34.5
29,Comprehensive income,,$ 359.2,$ 356.4,$ 340.8
30,,,,,
31,[1] (1) Earnings per share is calculated using unrounded numbers. Amounts in the table may not recalculate exactly due to rounding.,[1] (1) Earnings per share is calculated using unrounded numbers. Amounts in the table may not recalculate exactly due to rounding.,[1] (1) Earnings per share is calculated using unrounded numbers. Amounts in the table may not recalculate exactly due to rounding.,[1] (1) Earnings per share is calculated using unrounded numbers. Amounts in the table may not recalculate exactly due to rounding.,
