,"Consolidated Statements of Income - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Thousands, $ in Thousands","Aug. 25, 2018","Aug. 26, 2017","Aug. 27, 2016"
0,Income Statement [Abstract],,,
1,Net sales,"$ 11,221,077","$ 10,888,676","$ 10,635,676"
2,"Cost of sales, including warehouse and delivery expenses",5247331,5149056,5026940
3,Gross profit,5973746,5739620,5608736
4,"Operating, selling, general and administrative expenses",4162890,3659551,3548341
5,Operating profit,1810856,2080069,2060395
6,"Interest expense, net",174527,154580,147681
7,Income before income taxes,1636329,1925489,1912714
8,Income tax expense,298793,644620,671707
9,Net income,"$ 1,337,536","$ 1,280,869","$ 1,241,007"
10,Weighted average shares for basic earnings per share,26970,28430,29889
11,Effect of dilutive stock equivalents,454,635,599
12,Weighted average shares for diluted earnings per share,27424,29065,30488
13,Basic earnings per share,$ 49.59,$ 45.05,$ 41.52
14,Diluted earnings per share,$ 48.77,$ 44.07,$ 40.70
