,"Consolidated Statements Of Operations (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements Of Operations (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Income Statement [Abstract],,,
1,Sales of products,"$ 71,234","$ 57,401","$ 52,586"
2,Sales of services,10464,11334,11720
3,Total revenues,81698,68735,64306
4,Cost of products,"(60,309)","(46,642)","(42,194)"
5,Cost of services,"(8,247)","(9,097)","(9,489)"
6,Boeing Capital interest expense,(88),(128),(160)
7,Total costs and expenses,"(68,644)","(55,867)","(51,843)"
8,Gross profit,13054,12868,12463
9,"Income from operating investments, net",268,278,267
10,General and administrative expense,"(3,717)","(3,408)","(3,644)"
11,"Research and development expense, net","(3,298)","(3,918)","(4,121)"
12,"Gain on dispositions, net",4,24,6
13,Earnings from operations,6311,5844,4971
14,"Other income, net",62,47,52
15,Interest and debt expense,(463),(498),(516)
16,Earnings before income taxes,5910,5393,4507
17,Income tax expense,"(2,007)","(1,382)","(1,196)"
18,Net earnings from continuing operations,3903,4011,3311
19,"Net (loss)/gain on disposal of discontinued operations, net of taxes of $2, ($4), $2",(3),7,(4)
20,Net earnings,"$ 3,900","$ 4,018","$ 3,307"
21,Basic earnings per share from continuing operations,$ 5.15,$ 5.38,$ 4.50
22,"Net (loss)/gain on disposal of discontinued operations, net of taxes",,$ 0.01,$ (0.01)
23,Basic earnings per share,$ 5.15,$ 5.39,$ 4.49
24,Diluted earnings per share from continuing operations,$ 5.11,$ 5.33,$ 4.46
25,"Net (loss)/gain on disposal of discontinued operations, net of taxes",,$ 0.01,$ (0.01)
26,Diluted earnings per share,$ 5.11,$ 5.34,$ 4.45
