,"Consolidated Statements of Income (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income (USD $) In Thousands, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Revenues:,,,
1,"Product, net","$ 4,166,074","$ 3,836,117","$ 3,470,056"
2,Unconsolidated joint business,1137923,996597,1077244
3,Other,212464,215920,169123
4,Total revenues,5516461,5048634,4716423
5,Cost and expenses:,,,
6,"Cost of sales, excluding amortization of acquired intangible assets",545494,466780,400262
7,Research and development,1334919,1219602,1248604
8,"Selling, general and administrative",1277465,1056133,1031540
9,Collaboration profit sharing,317895,317771,258071
10,Amortization of acquired intangible assets,202204,208566,208928
11,Fair value adjustment of contingent consideration,27202,36065,0
12,Restructuring charge,2225,19026,75153
13,Acquired in-process research and development,0,0,244976
14,Total cost and expenses,3707404,3323943,3467534
15,Gain on sale of rights,46792,0,0
16,Income from operations,1855849,1724691,1248889
17,"Other income (expense), net",(744),"(13,477)","(18,983)"
18,"Income before income tax expense and equity in loss of investee, net of tax",1855105,1711214,1229906
19,Income tax expense,470554,444528,331333
20,"Equity in loss of investee, net of tax",4518,0,0
21,Net income,1380033,1266686,898573
22,"Net income (loss) attributable to noncontrolling interests, net of tax",0,32258,"(106,700)"
23,Net income attributable to Biogen Idec Inc.,"$ 1,380,033","$ 1,234,428","$ 1,005,273"
24,Net income per share:,,,
25,Basic earnings per share attributable to Biogen Idec Inc.,$ 5.80,$ 5.09,$ 3.98
26,Diluted earnings per share attributable to Biogen Idec Inc.,$ 5.76,$ 5.04,$ 3.94
27,Weighted-average shares used in calculating:,,,
28,Basic earnings per share attributable to Biogen Idec Inc.,237938,242395,252307
29,Diluted earnings per share attributable to Biogen Idec Inc.,239740,245033,254867
