,0,1,2,3,4,5,6
0,[1],"In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.",,,,,
1,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Income (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2010"
3,Net Sales,"$ 2,921.9",,"$ 2,749.3",,"$ 2,589.2",
4,Cost of sales,1630.5,,1534.8,,1431.4,
5,Gross Profit,1291.4,,1214.5,,1157.8,
6,Marketing expenses,357.3,,354.1,,338.0,
7,"Selling, General and Administrative Expenses",389.0,,367.8,,374.8,
8,Income from Operations,545.1,,492.6,,445.0,
9,Equity in Earnings of Affiliates,8.9,,10.0,,5.0,
10,Investment Earnings,1.7,[1],1.9,[1],0.6,[1]
11,"Other income, net",0.8,[1],(1.2),[1],(4.5),[1]
12,Interest expense,(14.0),[1],(8.7),[1],(27.8),[1]
13,Income before Income Taxes,542.5,,494.6,,418.3,
14,Income taxes,192.7,,185.0,,147.6,
15,Net Income,$ 349.8,,$ 309.6,,$ 270.7,
16,Weighted average shares outstanding-Basic,140.1,,143.2,,142.0,
17,Weighted average shares outstanding-Diluted,142.7,,145.8,,144.4,
18,Net income per share-Basic,$ 2.50,,$ 2.16,,$ 1.91,
19,Net income per share-Diluted,$ 2.45,,$ 2.12,,$ 1.87,
20,Cash dividends per share,$ 0.96,,$ 0.68,,$ 0.31,
21,,,,,,,
22,"[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations.","[1]  In determining Income before Income Taxes, interest expense, investment earnings, and other income, net were allocated to the segments based upon each segment's relative Income from Operations."
