,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Millions, except Share data, unless otherwise specified",1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,1 Months Ended,2 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS (USD $) In Millions, except Share data, unless otherwise specified","May 31, 2013","Apr. 30, 2013","Mar. 31, 2013","Dec. 31, 2012","Apr. 30, 2012","Jan. 31, 2012","Dec. 31, 2011","May 31, 2011","Jan. 31, 2011","Jun. 30, 2013","Dec. 31, 2013","Sep. 30, 2013","Jun. 30, 2013","Mar. 31, 2013","Dec. 31, 2012","Sep. 30, 2012","Jun. 30, 2012","Mar. 31, 2012","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2011"
0,Income Statement [Abstract],,,,,,,,,,,,,,,,,,,,,
1,REVENUES,,,,,,,,,,,"$ 2,148","$ 2,118","$ 1,972","$ 1,917","$ 1,913","$ 1,880","$ 1,884","$ 1,827","$ 8,155","$ 7,504","$ 7,204"
2,COSTS AND EXPENSES:,,,,,,,,,,,,,,,,,,,,,
3,Operating costs and expenses (excluding depreciation and amortization),,,,,,,,,,,,,,,,,,,5345,4860,4564
4,Depreciation and amortization,,,,,,,,,,,,,,,,,,,1854,1713,1592
5,"Other operating expenses, net",,,,,,,,,,,,,,,,,,,31,15,7
6,Total costs and expenses,,,,,,,,,,,,,,,,,,,7230,6588,6163
7,Income from operations,,,,,,,,,,,246,220,236,223,206,211,269,230,925,916,1041
8,OTHER EXPENSES:,,,,,,,,,,,,,,,,,,,,,
9,"Interest expense, net",,,,,,,,,,,,,,,,,,,(846),(907),(963)
10,Loss on extinguishment of debt,(14),(2),(42),(33),(59),(15),(19),(53),(67),(65),,,,,,,,,(123),(55),(143)
11,"Gain on derivative instruments, net",,,,,,,,,,,,,,,,,,,11,0,0
12,"Other expense, net",,,,,,,,,,,,,,,,,,,(16),(1),(5)
13,Total other expenses,,,,,,,,,,,,,,,,,,,(974),(963),"(1,111)"
14,Loss before income taxes,,,,,,,,,,,,,,,,,,,(49),(47),(70)
15,Income tax expense,,,,,,,,,,,,,,,,,,,(120),(257),(299)
16,Net loss,,,,,,,,,,,$ 39,$ (70),$ (96),$ (42),$ (40),$ (87),$ (83),$ (94),$ (169),$ (304),$ (369)
17,"LOSS PER COMMON SHARE, BASIC AND DILUTED",,,,,,,,,,,,,,,,,,,,,
18,"LOSS PER COMMON SHARE, BASIC AND DILUTED (in dollars per share)",,,,,,,,,,,,$ (0.68),$ (0.96),$ (0.42),$ (0.41),$ (0.87),$ (0.84),$ (0.95),$ (1.65),$ (3.05),$ (3.39)
19,"Weighted average common shares outstanding, basic and diluted (in shares)",,,,,,,,,,,,102924443,100600678,100327418,100003344,99694672,99496755,99432960,101934630,99657989,108948554
