,0,1,2,3,4,5,6
0,[1],"Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.",,,,,
1,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2009"
3,NET SALES,"$ 18,048",[1],"$ 13,226",[1],"$ 10,800",[1]
4,Cost of sales,13459,,10058,,8631,
5,GROSS MARGIN,4589,,3168,,2169,
6,OPERATING EXPENSES AND INCOME,,,,,,
7,"Selling, general and administrative expenses",1837,,1487,,1239,
8,"Research, development and engineering expenses (Note 1)",629,,414,,362,
9,"Equity, royalty and interest income from investees (Note 3)",416,,351,,214,
10,Gain on sale of businesses (Note 2),121,,,,,
11,Restructuring and other charges (Note 22),,,,,99,
12,"Other operating (expense) income, net",21,,(16),,(1),
13,OPERATING INCOME,2681,,1602,,682,
14,Interest income,34,,21,,8,
15,Interest expense (Note 10),44,,40,,35,
16,"Other income (expense), net",,,34,,(15),
17,INCOME BEFORE INCOME TAXES,2671,,1617,,640,
18,Income tax expense (Note 4),725,,477,,156,
19,CONSOLIDATED NET INCOME,1946,,1140,,484,
20,Less: Net income attributable to noncontrolling interests,98,,100,,56,
21,NET INCOME ATTRIBUTABLE TO CUMMINS INC.,"$ 1,848",,"$ 1,040",,$ 428,
22,EARNINGS PER COMMON SHARE ATTRIBUTABLE TO CUMMINS INC. (Note 19),,,,,,
23,Basic (in dollars per share),$ 9.58,,$ 5.29,,$ 2.17,
24,Diluted (in dollars per share),$ 9.55,,$ 5.28,,$ 2.16,
25,,,,,,,
26,"[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively.","[1]  Includes sales to nonconsolidated equity investees of $2,594 million, $2,210 million and $1,830 million for the years ended December 31, 2011, 2010 and 2009, respectively."
