,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Oct. 31, 2023","Oct. 31, 2022","Oct. 31, 2021"
0,Income Statement [Abstract],,,
1,Net sales,"$ 3,593.2","$ 3,308.4","$ 2,922.5"
2,Cost of sales,1235.3,1168.8,966.7
3,Gross profit,2357.9,2139.6,1955.8
4,"Selling, general and administrative expense",1501.2,1342.2,1211.2
5,Research and development expense,137.4,110.3,92.7
6,Amortization of intangibles,186.2,179.5,146.1
7,Operating income,533.1,507.6,505.8
8,Interest expense,105.3,57.3,23.1
9,Other expense (income),14.9,(25.0),(8.8)
10,Income before income taxes,412.9,475.3,491.5
11,Provision for income taxes (Note 6),118.7,89.5,"(2,453.2)"
12,Net income,$ 294.2,$ 385.8,"$ 2,944.7"
13,Earnings per share (Note 7),,,
14,Basic (in dollars per share),$ 5.94,$ 7.83,$ 59.80
15,Diluted (in dollars per share),$ 5.91,$ 7.76,$ 59.16
16,Number of shares used to compute earnings per share:,,,
17,Basic (in shares),49.5,49.3,49.2
18,Diluted (in shares),49.8,49.7,49.8
