,0,1,2,3,4,5,6
0,[1],The sum of the individual per share amounts does not equal due to rounding.,,,,,
1,"Consolidated Statements Of Earnings (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements Of Earnings (USD $) In Millions, except Per Share data","Jul. 31, 2011","Jul. 31, 2011","Aug. 01, 2010","Aug. 01, 2010","Aug. 02, 2009","Aug. 02, 2009"
3,Consolidated Statements Of Earnings,,,,,,
4,Net sales,"$ 7,719",,"$ 7,676",,"$ 7,586",
5,Costs and expenses,,,,,,
6,Cost of products sold,4616,,4526,,4558,
7,Marketing and selling expenses,1007,,1058,,1077,
8,Administrative expenses,612,,605,,591,
9,Research and development expenses,129,,123,,114,
10,Other expenses / (income),13,,4,,61,
11,Restructuring charges,63,,12,,,
12,Total costs and expenses,6440,,6328,,6401,
13,Earnings before interest and taxes,1279,,1348,,1185,
14,Interest expense,122,,112,,110,
15,Interest income,11,,6,,4,
16,Earnings before taxes,1168,,1242,,1079,
17,Taxes on earnings,366,,398,,347,
18,Earnings from continuing operations,802,,844,,732,
19,Earnings from discontinued operations,,,,,4,
20,Net earnings,802,,844,,736,
21,Less: Net earnings (loss) attributable to noncontrolling interests,(3),,,,,
22,Net earnings attributable to Campbell Soup Company,$ 805,,$ 844,,$ 736,
23,Per Share - Basic,,,,,,
24,Earnings from continuing operations attributable to Campbell Soup Company,$ 2.44,,$ 2.44,,$ 2.05,
25,Earnings from discontinued operations attributable to Campbell Soup Company,,,,,$ 0.01,
26,Net earnings attributable to Campbell Soup Company,$ 2.44,[1],$ 2.44,[1],$ 2.06,[1]
27,Weighted average shares outstanding - basic,326,,340,,352,
28,Per Share - Assuming Dilution,,,,,,
29,Earnings from continuing operations attributable to Campbell Soup Company,$ 2.42,,$ 2.42,,$ 2.03,
30,Earnings from discontinued operations attributable to Campbell Soup Company,,,,,$ 0.01,
31,Net earnings attributable to Campbell Soup Company,$ 2.42,[1],$ 2.42,[1],$ 2.05,[1]
32,Weighted average shares outstanding - assuming dilution,329,,343,,354,
33,,,,,,,
34,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.,[1]  The sum of the individual per share amounts does not equal due to rounding.
