,0,1,2,3,4,5
0,[1],The sum of individual per share amounts may not add due to rounding.,,,,
1,[2],Sum of the individual amounts may not add due to rounding.,,,,
2,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
3,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Jul. 28, 2019","Jul. 28, 2019","Jul. 29, 2018","Jul. 30, 2017"
4,Income Statement [Abstract],,,,,
5,Net sales,,"$ 8,107",,"$ 6,615","$ 5,837"
6,Costs and expenses,,,,,
7,Cost of products sold,,5414,,4241,3395
8,Marketing and selling expenses,,842,,728,675
9,Administrative expenses,,610,,563,448
10,Research and development expenses,,91,,91,93
11,Other expenses / (income),,140,,(73),(216)
12,Restructuring charges,,31,,55,11
13,Total costs and expenses,,7128,,5605,4406
14,Earnings before interest and taxes,,979,,1010,1431
15,Interest expense,,356,,183,115
16,Interest income,,2,,3,0
17,Earnings before taxes,,625,,830,1316
18,Taxes on earnings,,151,,106,392
19,Earnings from continuing operations,,474,,724,924
20,Loss from discontinued operations,,(263),,(463),(37)
21,Net earnings,,211,,261,887
22,Less: Net earnings (loss) attributable to noncontrolling interests,,0,,0,0
23,Net earnings attributable to Campbell Soup Company,,$ 211,,$ 261,$ 887
24,Per Share - Basic,,,,,
25,Earnings from continuing operations attributable to Campbell Soup Company,,$ 1.57,[1],$ 2.41,$ 3.03
26,Loss from discontinued operations,,(0.87),,(1.54),(0.12)
27,Net earnings attributable to Campbell Soup Company,,$ 0.70,,$ 0.87,$ 2.91
28,Weighted average shares outstanding - basic,,301,,301,305
29,Per Share - Assuming Dilution,,,,,
30,Earnings from continuing operations attributable to Campbell Soup Company,,$ 1.57,,$ 2.40,$ 3.01
31,Loss from discontinued operations,,(0.87),,(1.53),(0.12)
32,Net earnings attributable to Campbell Soup Company,[2],$ 0.70,,$ 0.86,$ 2.89
33,Weighted average shares outstanding - assuming dilution,,302,,302,307
34,,,,,,
35,[1] The sum of individual per share amounts may not add due to rounding. [2] Sum of the individual amounts may not add due to rounding.,[1] The sum of individual per share amounts may not add due to rounding. [2] Sum of the individual amounts may not add due to rounding.,[1] The sum of individual per share amounts may not add due to rounding. [2] Sum of the individual amounts may not add due to rounding.,[1] The sum of individual per share amounts may not add due to rounding. [2] Sum of the individual amounts may not add due to rounding.,[1] The sum of individual per share amounts may not add due to rounding. [2] Sum of the individual amounts may not add due to rounding.,
