,Consolidated Statements of Income - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Income - USD ($)  $ in Thousands,"May 31, 2023","May 31, 2022","May 31, 2021"
0,Revenue:,,,
1,Revenue,"$ 8,815,769","$ 7,854,459","$ 7,116,340"
2,Costs and expenses:,,,
3,Selling and administrative expenses,2370704,2044876,1929159
4,Operating income,1802664,1587370,1385492
5,Interest income,"(1,716)",(242),(467)
6,Interest expense,111232,88844,98210
7,Income before income taxes,1693148,1498768,1287749
8,Income taxes,345138,263011,176781
9,Net income,"$ 1,348,010","$ 1,235,757","$ 1,110,968"
10,Basic earnings per share (in dollars per share),$ 13.21,$ 11.92,$ 10.52
11,Diluted earnings per share (in dollars per share),12.99,11.65,10.24
12,Dividends declared and paid per share (in dollars per share),$ 4.60,$ 3.80,$ 5.01
13,Uniform rental and facility services,,,
14,Revenue:,,,
15,Revenue,"$ 6,897,130","$ 6,226,980","$ 5,689,632"
16,Costs and expenses:,,,
17,Cost of revenue,3632175,3316433,2983514
18,Other,,,
19,Revenue:,,,
20,Revenue,1918639,1627479,1426708
21,Costs and expenses:,,,
22,Cost of revenue,"$ 1,010,226","$ 905,780","$ 818,175"
