,CONSOLIDATED INCOME STATEMENTS - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED INCOME STATEMENTS - USD ($)  $ in Millions,"Jan. 28, 2023","Jan. 29, 2022","Jan. 30, 2021"
0,Income Statement [Abstract],,,
1,Net sales,"$ 28,318.2","$ 26,309.8","$ 25,508.4"
2,Other revenue,13.5,11.4,0.9
3,Total revenue,28331.7,26321.2,25509.3
4,Cost of sales,19396.3,18583.9,17721.0
5,"Selling, general and administrative expenses",6699.1,5925.9,5900.4
6,Operating income,2236.3,1811.4,1887.9
7,"Interest expense, net",125.3,178.9,147.3
8,"Other expense, net",0.4,0.3,0.8
9,Income before income taxes,2110.6,1632.2,1739.8
10,Provision for income taxes,495.2,304.3,397.9
11,Net income,"$ 1,615.4","$ 1,327.9","$ 1,341.9"
12,Net income per share:,,,
13,Basic net income per share (usd per share),$ 7.24,$ 5.83,$ 5.68
14,Diluted net income per share (usd per share),$ 7.21,$ 5.80,$ 5.65
