,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
0,REVENUES,,,
1,Rental income,"$ 2,571,705","$ 2,700,691","$ 2,577,681"
2,EXPENSES,,,
3,Property and maintenance,440998,446845,429335
4,Real estate taxes and insurance,381562,366139,357814
5,Property management,93825,95344,92485
6,General and administrative,48305,52757,53813
7,Depreciation,820832,831083,785725
8,Total expenses,1785522,1792168,1719172
9,Net gain (loss) on sales of real estate properties,531807,447637,256810
10,Impairment,,,(702)
11,Operating income,1317990,1356160,1114617
12,Interest and other income,5935,3201,16070
13,Other expenses,"(17,510)","(18,177)","(17,267)"
14,Interest:,,,
15,"Expense incurred, net","(365,073)","(390,076)","(413,360)"
16,Amortization of deferred financing costs,"(8,939)","(11,670)","(11,310)"
17,"Income before income and other taxes, income (loss) from investments in unconsolidated entities and net gain (loss) on sales of land parcels",932403,939438,688750
18,Income and other tax (expense) benefit,(852),2281,(878)
19,Income (loss) from investments in unconsolidated entities,"(3,284)",65945,"(3,667)"
20,Net gain (loss) on sales of land parcels,34234,2044,987
21,Net income,962501,1009708,685192
22,Net (income) loss attributable to Noncontrolling Interests:,,,
23,Operating Partnership,"(34,010)","(36,034)","(24,939)"
24,Partially Owned Properties,"(14,855)","(3,297)","(2,718)"
25,Net income attributable to controlling interests,913636,970377,657535
26,Preferred distributions,"(3,090)","(3,090)","(3,090)"
27,Net income available to Common Shares,"$ 910,546","$ 967,287","$ 654,445"
28,Earnings per share – basic:,,,
29,Net income available to Common Shares,$ 2.45,$ 2.61,$ 1.78
30,Weighted average Common Shares outstanding,371791,370461,368052
31,Earnings per share – diluted:,,,
32,Net income available to Common Shares,$ 2.45,$ 2.60,$ 1.77
33,Weighted average Common Shares outstanding,385874,386333,383695
