,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
0,Income Statement [Abstract],,,
1,Net sales,"$ 19,628","$ 17,858","$ 21,390"
2,Cost of products sold,13293,12408,14338
3,Selling and administrative expense,3256,3075,3583
4,Research and development expense,616,551,606
5,Interest expense - net,144,149,199
6,Gain on sale of businesses,617,221,0
7,Other expense - net,40,150,73
8,Income before income taxes,2896,1746,2591
9,Income tax expense,750,331,378
10,Net income,2146,1415,2213
11,Less net income for noncontrolling interests,(2),(5),(2)
12,Net income attributable to Eaton ordinary shareholders,"$ 2,144","$ 1,410","$ 2,211"
13,Net income per share attributable to Eaton ordinary shareholders,,,
14,Diluted (USD per share),$ 5.34,$ 3.49,$ 5.25
15,Basic (USD per share),$ 5.38,$ 3.51,$ 5.28
16,Weighted-average number of ordinary shares outstanding,,,
17,Diluted (shares),401.6,404.0,420.8
18,Basic (shares),398.7,402.2,419.0
19,Cash dividends declared per ordinary share (USD per share),$ 3.04,$ 2.92,$ 2.84
