,0,1,2,3,4,5
0,[1],Note - Amounts may not foot due to rounding difference.,,,,
1,"Consolidated Statements Of Earnings (USD $) In Thousands, except Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements Of Earnings (USD $) In Thousands, except Share data, unless otherwise specified","Dec. 31, 2011","Dec. 31, 2011","Dec. 31, 2010","Dec. 31, 2010","Dec. 31, 2009"
3,Consolidated Statements Of Earnings [Abstract],,,,,
4,Net sales,"$ 2,766,859",,"$ 2,269,471",,"$ 1,930,330"
5,Cost of sales,1332687,,1094635,,946895
6,Gross profit,1434172,,1174836,,983435
7,Operating and administrative expenses,859369,,745112,,686792
8,Loss on sale of property and equipment,194,,35,,850
9,Operating income,574609,,429689,,295793
10,Interest income,472,,951,,1697
11,Earnings before income taxes,575081,,430640,,297490
12,Income tax expense,217152,,165284,,113133
13,Net earnings,"$ 357,929",,"$ 265,356",,"$ 184,357"
14,Basic net earnings per share,$ 1.21,[1],$ 0.90,[1],$ 0.62
15,Diluted net earnings per share,$ 1.21,,$ 0.90,,$ 0.62
16,Basic weighted average shares outstanding,295053790,,294861424,,296715970
17,Diluted weighted average shares outstanding,295868726,,294861424,,296715970
18,,,,,,
19,[1]  Note - Amounts may not foot due to rounding difference.,[1]  Note - Amounts may not foot due to rounding difference.,[1]  Note - Amounts may not foot due to rounding difference.,[1]  Note - Amounts may not foot due to rounding difference.,[1]  Note - Amounts may not foot due to rounding difference.,[1]  Note - Amounts may not foot due to rounding difference.
