,Consolidated Statements Of Earnings - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements Of Earnings - USD ($)  $ in Thousands,"Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
0,Income Statement [Abstract],,,
1,Net sales,"$ 3,869,187","$ 3,733,507","$ 3,326,106"
2,Cost of sales,1920253,1836105,1606661
3,Gross profit,1948934,1897402,1719445
4,Operating and administrative expenses,1121590,1110776,1007431
5,Gain on sale of property and equipment,"(1,411)",(964),(643)
6,Operating income,828755,787590,712657
7,Interest income,373,759,924
8,Interest expense,"(3,108)",(915),(113)
9,Earnings before income taxes,826020,787434,713468
10,Income tax expense,309659,293284,264832
11,Net earnings,"$ 516,361","$ 494,150","$ 448,636"
12,Basic net earnings per share (in dollars per share),$ 1.77,$ 1.67,$ 1.51
13,Diluted net earnings per share (in dollars per share),$ 1.77,$ 1.66,$ 1.51
14,Basic weighted average shares outstanding (in shares),291453107,296490378,296754160
15,Diluted weighted average shares outstanding (in shares),292045442,297313244,297683588
