,"Consolidated Income Statements (USD $) In Thousands, except Per Share data, unless otherwise specified",3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Income Statements (USD $) In Thousands, except Per Share data, unless otherwise specified","Sep. 30, 2012","Jun. 30, 2012","Mar. 31, 2012","Dec. 31, 2011","Sep. 30, 2011","Jun. 30, 2011","Mar. 31, 2011","Dec. 31, 2010","Sep. 30, 2012","Sep. 30, 2011","Sep. 30, 2010"
0,Net revenues,,,,,,,,,,,
1,Products,"$ 209,718","$ 207,118","$ 205,165","$ 196,554","$ 197,446","$ 179,327","$ 173,710","$ 171,492","$ 818,555","$ 721,975","$ 561,142"
2,Services,152841,145516,134457,125878,117169,111386,103862,97442,558692,429859,320830
3,Total,362559,352634,339622,322432,314615,290713,277572,268934,1377247,1151834,881972
4,Cost of net revenues,,,,,,,,,,,
5,Products,35752,34482,33668,33200,34485,31803,31423,31614,137102,129325,113834
6,Services,26929,25805,23926,22406,21435,20645,19250,17349,99066,78679,58118
7,Total,62681,60287,57594,55606,55920,52448,50673,48963,236168,208004,171952
8,Gross profit,299878,292347,282028,266826,258695,238265,226899,219971,1141079,943830,710020
9,Operating expenses,,,,,,,,,,,
10,Sales and marketing,116298,112064,110995,106238,100945,93633,89332,86825,445595,370735,293201
11,Research and development,47731,46985,43568,39122,36552,35245,34507,32606,177406,138910,118314
12,General and administrative,24015,23298,22785,21677,21867,21126,19846,20684,91775,83523,68503
13,Total,188044,182347,177348,167037,159364,150004,143685,140115,714776,593168,480018
14,Income from operations,111834,110000,104680,99789,99331,88261,83214,79856,426303,350662,230002
15,"Other income, net",909,1713,1428,1861,4087,1889,1568,2545,5911,10089,7625
16,Income before income taxes,112743,111713,106108,101650,103418,90150,84782,82401,432214,360751,237627
17,Provision for income taxes,45026,39377,37467,35158,35808,27601,29207,26738,157028,119354,86474
18,Net income,"$ 67,717","$ 72,336","$ 68,641","$ 66,492","$ 67,610","$ 62,549","$ 55,575","$ 55,663","$ 275,186","$ 241,397","$ 151,153"
19,Net income per share - basic,$ 0.86,$ 0.91,$ 0.87,$ 0.84,$ 0.84,$ 0.77,$ 0.69,$ 0.69,$ 3.48,$ 2.99,$ 1.90
20,Weighted average shares - basic,78980,79135,79156,79272,80317,80866,80809,80644,79135,80658,79609
21,Net income per share - diluted,$ 0.85,$ 0.91,$ 0.86,$ 0.83,$ 0.84,$ 0.77,$ 0.68,$ 0.68,$ 3.45,$ 2.96,$ 1.86
22,Weighted average shares - diluted,79425,79655,79775,79822,80766,81497,81622,81648,79780,81482,81049
