,"CONDENSED CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"CONDENSED CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Millions, $ in Millions","Jan. 30, 2021","Feb. 01, 2020","Feb. 02, 2019"
0,CONDENSED CONSOLIDATED STATEMENTS OF OPERATIONS [Abstract],,,
1,Sales,"$ 7,548","$ 8,005","$ 7,939"
2,Cost of sales,5365,5462,5411
3,"Selling, general and administrative expenses",1587,1650,1614
4,Depreciation and amortization,176,179,178
5,Impairment and other charges,117,65,37
6,Income from operations,303,649,699
7,"Interest (expense) income, net",(7),11,9
8,"Other income, net",198,12,5
9,Income before income taxes,494,672,713
10,Income tax expense,171,181,172
11,Net income,$ 323,$ 491,$ 541
12,Basic earnings per share,$ 3.10,$ 4.52,$ 4.68
13,Weighted-average shares outstanding,104.3,108.7,115.6
14,Diluted earnings per share,$ 3.08,$ 4.50,$ 4.66
15,"Weighted-average shares outstanding, assuming dilution",105.1,109.1,116.1
