,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,[1],Earnings per share is computed independently for each of the quarters presented. The sum of the quarters may not equal the total year amount due to the impact of changes in weighted average quarterly shares outstanding.,,,,,,,,,,,,,,,,,,
1,Consolidated Statements of Income - USD ($)  $ in Thousands,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements of Income - USD ($)  $ in Thousands,"Dec. 31, 2018","Dec. 31, 2018","Sep. 30, 2018","Sep. 30, 2018","Jun. 30, 2018","Jun. 30, 2018","Mar. 31, 2018","Mar. 31, 2018","Dec. 31, 2017","Dec. 31, 2017","Sep. 30, 2017","Sep. 30, 2017","Jun. 30, 2017","Jun. 30, 2017","Mar. 31, 2017","Mar. 31, 2017","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2016"
3,Income Statement [Abstract],,,,,,,,,,,,,,,,,,,
4,Sales,"$ 986,900",,"$ 952,700",,"$ 973,100",,"$ 920,000",,"$ 1,034,100",,"$ 883,400",,"$ 877,100",,"$ 866,300",,"$ 3,832,666","$ 3,660,831","$ 3,990,487"
5,Cost of sales,,,,,,,,,,,,,,,,,"(2,644,830)","(2,571,878)","(2,753,689)"
6,Gross profit,321800,,308500,,286100,,271400,,304400,,267500,,245000,,268400,,1187836,1088953,1236798
7,"Selling, general and administrative expense",,,,,,,,,,,,,,,,,"(943,714)","(901,727)","(965,376)"
8,(Loss) gain on sale of businesses,,,,,,,,,,,,,,,,,"(7,727)",141317,"(7,664)"
9,Net earnings from affiliates,,,,,,,,,,,,,,,,,11143,12592,12926
10,Operating income,,,,,,,,,,,,,,,,,247538,341135,276684
11,Interest expense,,,,,,,,,,,,,,,,,"(58,160)","(59,730)","(60,137)"
12,Interest income,,,,,,,,,,,,,,,,,6465,3429,2804
13,"Other expense, net",,,,,,,,,,,,,,,,,"(19,569)","(21,827)","(6,439)"
14,Earnings before income taxes,78600,,44400,,28300,,25000,,67000,,68400,,103000,,24600,,176274,263007,212912
15,Provision for income taxes,,,,,,,,,,,,,,,,,"(51,224)","(258,679)","(77,380)"
16,"Net earnings, including noncontrolling interests",,,,,,,,,,,,,,,,,125050,4328,135532
17,Less: Net earnings attributable to noncontrolling interests,,,,,,,,,,,,,,,,,"(5,379)","(1,676)","(3,077)"
