,0,1,2,3,4
0,[1],Includes amounts attributable to noncontrolling interests.,,,
1,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2017","Dec. 31, 2016","Dec. 31, 2015"
3,Revenue:,,,,
4,Service revenue,,"$ 12,210.5","$ 9,128.7","$ 11,323.1"
5,Product revenue,,2651.8,70.9,148.8
6,Lease and other revenue,,194.6,0.0,0.0
7,Total revenue,,15056.9,9199.6,11471.9
8,Costs and expenses:,,,,
9,Cost of service revenue,,9984.0,7585.7,9863.0
10,Cost of product revenue,,2403.4,44.3,112.1
11,Cost of lease and other revenue,,137.2,0.0,0.0
12,"Selling, general and administrative expense",,1060.9,572.6,689.6
13,Research and development expense,,212.9,105.4,95.5
14,"Impairment, restructuring and other expense (Note 5)",,191.5,343.0,438.1
15,Merger transaction and integration costs (Note 2),,101.8,92.6,0.0
16,Total costs and expenses,,14091.7,8743.6,11198.3
17,"Other income (expense), net",,(25.9),6.5,(102.9)
18,Income from equity affiliates (Note 8),,55.6,117.7,51.0
19,"Income before interest income, interest expense and income taxes",,994.9,580.2,221.7
20,Interest income,,140.8,85.3,77.7
21,Interest expense,,(456.0),(114.1),(148.9)
22,Income before income taxes,[1],679.7,551.4,150.5
23,Provision for income taxes (Note 17),,545.5,180.3,136.5
24,Net income,,134.2,371.1,14.0
25,Net (income) loss attributable to noncontrolling interests,,(20.9),22.2,0.4
26,Net income attributable to TechnipFMC plc,,$ 113.3,$ 393.3,$ 14.4
27,Earnings per share attributable to TechnipFMC plc (Note 4):,,,,
28,Basic earnings (loss) per share (usd per share),,$ 0.24,$ 3.29,$ 0.13
29,Diluted earnings (loss) per share (usd per share),,$ 0.24,$ 3.16,$ 0.13
30,Weighted average shares outstanding (Note 4):,,,,
31,Basic (in shares),,466.7,119.4,114.9
32,Diluted (in shares),,468.3,125.1,127.3
33,,,,,
34,[1] Includes amounts attributable to noncontrolling interests.,[1] Includes amounts attributable to noncontrolling interests.,[1] Includes amounts attributable to noncontrolling interests.,[1] Includes amounts attributable to noncontrolling interests.,
