,"CONSOLIDATED STATEMENTS OF EARNINGS (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF EARNINGS (USD $) In Millions, except Per Share data","May 29, 2011","May 30, 2010","May 31, 2009"
0,Sales,,,
1,Net sales,"$ 14,880.2","$ 14,635.6","$ 14,555.8"
2,Expenses,,,
3,Cost of sales,8926.7,8835.4,9380.9
4,"Selling, general, and administrative expenses",3192.0,3162.7,2893.2
5,"Divestiture (gain), net",(17.4),0,(84.9)
6,"Restructuring, impairment, and other exit costs",4.4,31.4,41.6
7,Operating profit,2774.5,2606.1,2325.0
8,"Interest, net",346.3,401.6,382.8
9,Earnings before income taxes and after-tax earnings from joint ventures,2428.2,2204.5,1942.2
10,Income taxes,721.1,771.2,720.4
11,After-tax earnings from joint ventures,96.4,101.7,91.9
12,"Net earnings, including earnings attributable to noncontrolling interests",1803.5,1535.0,1313.7
13,Net earnings attributable to noncontrolling interests,5.2,4.5,9.3
14,Net earnings attributable to General Mills,"$ 1,798.3","$ 1,530.5","$ 1,304.4"
15,Earnings per share - basic,$ 2.80,$ 2.32,$ 1.96
16,Earnings per share - diluted,$ 2.6950,$ 2.24,$ 1.90
17,Dividends per share,$ 1.12,$ 0.96,$ 0.86
