,Consolidated Statements of Earnings - USD ($)  $ in Millions,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Earnings - USD ($)  $ in Millions,"May 30, 2021","Feb. 28, 2021","Nov. 29, 2020","Aug. 30, 2020","May 31, 2020","Feb. 23, 2020","Nov. 24, 2019","Aug. 25, 2019","May 26, 2019","May 30, 2021","May 31, 2020","May 26, 2019"
0,Consolidated Statements of Earnings [Abstract],,,,,,,,,,,,
1,Net sales,"$ 4,523.6","$ 4,520.0","$ 4,719.4","$ 4,364.0","$ 5,023.0","$ 4,180.3","$ 4,420.8","$ 4,002.5",,"$ 18,127.0","$ 17,626.6","$ 16,865.2"
2,Cost of sales,,,,,,,,,,11678.7,11496.7,11108.4
3,"Selling, general, and administrative expenses",,,,,,,,,,3079.6,3151.6,2935.8
4,Divestitures loss,,,,,,,,,,53.5,0.0,30.0
5,"Restructuring, impairment, and other exit costs",,,,,,,,,,170.4,24.4,275.1
6,Operating profit,,,,,,,,,,3144.8,2953.9,2515.9
7,Benefit plan non-service income,,,,,,,,,,(132.9),(112.8),(87.9)
8,"Interest, net",,,,,,,,,,420.3,466.5,521.8
9,Earnings before income taxes and after-tax earnings from joint ventures,,,,,,,,,,2857.4,2600.2,2082.0
10,Income taxes,,,,,,,,,$ (72.9),629.1,480.5,367.8
11,After-tax earnings from joint ventures,,,,,,,,,,117.7,91.1,72.0
12,"Net earnings, including earnings attributable to redeemable and noncontrolling interests",,,,,,,,,,2346.0,2210.8,1786.2
13,Net earnings attributable to redeemable and noncontrolling interests,,,,,,,,,,6.2,29.6,33.5
14,Net earnings attributable to General Mills,$ 416.8,$ 595.7,$ 688.4,$ 638.9,$ 625.7,$ 454.1,$ 580.8,$ 520.6,,"$ 2,339.8","$ 2,181.2","$ 1,752.7"
15,Earnings per share - basic,$ 0.68,$ 0.97,$ 1.12,$ 1.04,$ 1.03,$ 0.75,$ 0.96,$ 0.86,,$ 3.81,$ 3.59,$ 2.92
16,Earnings per share - diluted,$ 0.68,$ 0.96,$ 1.11,$ 1.03,$ 1.02,$ 0.74,$ 0.95,$ 0.85,,3.78,3.56,2.90
17,Dividends per share,,,,,,,,,,$ 2.02,$ 1.96,$ 1.96
