,0,1,2,3,4
0,[1],Net sales are attributed to countries based on location of customer.,,,
1,[2],"The first quarter 2015 dividend was declared on December 3, 2014.",,,
2,Consolidated Statements of Income - USD ($)  $ in Millions,Consolidated Statements of Income - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
3,Consolidated Statements of Income - USD ($)  $ in Millions,Consolidated Statements of Income - USD ($)  $ in Millions,"Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
4,Net sales,[1],"$ 9,111","$ 9,715","$ 7,819"
5,Cost of sales,,5458,5663,4495
6,Gross margin,,3653,4052,3324
7,Operating expenses:,,,,
8,"Selling, general and administrative expenses",,1523,1211,1126
9,"Research, development and engineering expenses",,769,815,710
10,Amortization of purchased intangibles,,54,33,31
11,"Restructuring, impairment and other charges (Note 2)",,,71,67
12,Asbestos litigation (credit) charges (Note 7),,(15),(9),19
13,Operating income,,1322,1931,1371
14,Equity in earnings of affiliated companies (Note 7),,299,266,547
15,Interest income,,21,26,8
16,Interest expense,,(140),(123),(120)
17,"Transaction-related gain, net (Note 8)",,,74,
18,"Foreign currency hedge gain, net",,85,1411,622
19,"Other (expense) income, net",,(101),(17),45
20,Income before income taxes,,1486,3568,2473
21,Provision for income taxes (Note 6),,(147),"(1,096)",(512)
22,Net income attributable to Corning Incorporated,,"$ 1,339","$ 2,472","$ 1,961"
23,Earnings per common share attributable to Corning Incorporated:,,,,
24,Basic (Note 18) (in Dollars per share),,$ 1.02,$ 1.82,$ 1.35
25,Diluted (Note 18) (in Dollars per share),,1.00,1.73,1.34
26,Dividends declared per common share (1) (in Dollars per share),[2],$ 0.36,$ 0.52,$ 0.39
27,,,,,
28,"[1] Net sales are attributed to countries based on location of customer. [2] The first quarter 2015 dividend was declared on December 3, 2014.","[1] Net sales are attributed to countries based on location of customer. [2] The first quarter 2015 dividend was declared on December 3, 2014.","[1] Net sales are attributed to countries based on location of customer. [2] The first quarter 2015 dividend was declared on December 3, 2014.","[1] Net sales are attributed to countries based on location of customer. [2] The first quarter 2015 dividend was declared on December 3, 2014.","[1] Net sales are attributed to countries based on location of customer. [2] The first quarter 2015 dividend was declared on December 3, 2014."
