,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  $ in Thousands,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,7 Months Ended,7 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  $ in Thousands,"Dec. 31, 2018","Sep. 30, 2018","Jun. 30, 2018","Mar. 31, 2018","Dec. 31, 2017","Sep. 30, 2017","Jun. 30, 2017","Mar. 31, 2017","Dec. 31, 2016","Dec. 31, 2015","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2016","May 31, 2016"
0,Income Statement [Abstract],,,,,,,,,,,,,,
1,Revenues,"$ 880,555","$ 857,670","$ 833,164","$ 794,977","$ 1,054,253","$ 1,038,907","$ 962,240","$ 919,762","$ 2,202,896","$ 1,730,070","$ 3,366,366","$ 3,975,163","$ 3,370,976","$ 2,898,150"
2,Operating expenses:,,,,,,,,,,,,,,
3,Cost of service,,,,,,,,,1094593,638700,1095014,1928037,1603532,1147639
4,"Selling, general and administrative",,,,,,,,,870352,784823,1534297,1488258,1411096,1325567
5,Total costs and expenses,,,,,,,,,1964945,1423523,2629311,3416295,3014628,2473206
6,Operating income,166986,223162,190737,156170,149575,172471,131852,104970,237951,306547,737055,558868,356348,424944
7,Interest and other income,,,,,,,,,44382,2886,20719,8662,46780,5284
8,Interest and other expense,,,,,,,,,"(108,989)","(32,149)","(195,619)","(174,847)","(146,156)","(69,316)"
9,Total nonoperating income (expense),,,,,,,,,"(64,607)","(29,263)","(174,900)","(166,185)","(99,376)","(64,032)"
10,Income before income taxes,,,,,,,,,173344,277284,562155,392683,256972,360912
11,Income tax (provision) benefit,,,,,,,,,"(35,661)","(70,089)","(77,488)",101387,"(36,267)","(70,695)"
12,Net income,83323,186029,117729,97586,250305,118362,72443,52959,137683,207195,484667,494070,220705,290217
13,Less: Net income attributable to noncontrolling interests,,,,,,,,,"(12,752)","(12,351)","(32,614)","(25,645)","(18,952)","(18,551)"
14,Net income attributable to Global Payments,"$ 75,215","$ 176,370","$ 109,069","$ 91,399","$ 241,962","$ 110,740","$ 66,909","$ 48,813","$ 124,931","$ 194,844","$ 452,053","$ 468,425","$ 201,753","$ 271,666"
15,Earnings per share attributable to Global Payments:,,,,,,,,,,,,,,
16,Basic earnings per share (USD per share),$ 0.48,$ 1.12,$ 0.69,$ 0.57,$ 1.52,$ 0.72,$ 0.44,$ 0.32,$ 0.81,$ 1.50,$ 2.85,$ 3.03,$ 1.38,$ 2.05
17,Diluted earnings per share (USD per share),$ 0.47,$ 1.11,$ 0.68,$ 0.57,$ 1.51,$ 0.71,$ 0.44,$ 0.32,$ 0.81,$ 1.49,$ 2.84,$ 3.01,$ 1.37,$ 2.04
