,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  $ in Thousands,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,3 Months Ended,7 Months Ended,7 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  $ in Thousands,"Nov. 30, 2016","Aug. 31, 2016","May 31, 2016","Feb. 29, 2016","Nov. 30, 2015","Aug. 31, 2015","May 31, 2015","Feb. 28, 2015","Nov. 30, 2014","Aug. 31, 2014","Dec. 31, 2016","Dec. 31, 2015","May 31, 2016","May 31, 2015","May 31, 2014"
0,Income Statement [Abstract],,,,,,,,,,,,,,,
1,Revenues,"$ 941,821","$ 939,492","$ 747,064","$ 679,940","$ 722,350","$ 748,796","$ 706,549","$ 664,983","$ 697,291","$ 704,895","$ 2,202,896","$ 1,730,070","$ 2,898,150","$ 2,773,718","$ 2,554,236"
2,Operating expenses:,,,,,,,,,,,,,,,
3,Cost of service,,,,,,,,,,,1094593,638700,1147639,1022107,952225
4,"Selling, general and administrative",,,,,,,,,,,870352,784823,1325567,1295014,1196512
5,Total costs and expenses,,,,,,,,,,,1964945,1423523,2473206,2317121,2148737
6,Operating income,105267,121106,56202,107805,123165,137772,103600,104615,123984,124398,237951,306547,424944,456597,405499
7,Interest and other income,,,,,,,,,,,44382,2886,5284,4949,13663
8,Interest and other expense,,,,,,,,,,,"(108,989)","(32,149)","(69,316)","(44,436)","(41,812)"
9,Total nonoperating income (expense),,,,,,,,,,,"(64,607)","(29,263)","(64,032)","(39,487)","(28,149)"
10,Income before income taxes,,,,,,,,,,,173344,277284,360912,417110,377350
11,Provision for income taxes,,,,,,,,,,,"(35,661)","(70,089)","(70,695)","(107,995)","(107,398)"
12,Net income,52615,92458,41179,72912,83078,93048,70110,69315,85256,84434,137683,207195,290217,309115,269952
13,Less: Net income attributable to noncontrolling interests,,,,,,,,,,,"(12,752)","(12,351)","(18,551)","(31,075)","(24,666)"
14,Net income attributable to Global Payments,"$ 49,452","$ 85,093","$ 37,188","$ 69,061","$ 78,771","$ 86,646","$ 65,325","$ 62,568","$ 74,781","$ 75,366","$ 124,931","$ 194,844","$ 271,666","$ 278,040","$ 245,286"
15,Earnings per share attributable to Global Payments:,,,,,,,,,,,,,,,
16,Basic earnings per share (in dollars per share),$ 0.32,$ 0.55,$ 0.27,$ 0.53,$ 0.61,$ 0.66,$ 0.50,$ 0.47,$ 0.55,$ 0.55,$ 0.81,$ 1.50,$ 2.05,$ 2.07,$ 1.70
17,Diluted earnings per share (in dollars per share),$ 0.32,$ 0.55,$ 0.26,$ 0.53,$ 0.60,$ 0.66,$ 0.49,$ 0.46,$ 0.55,$ 0.55,$ 0.81,$ 1.49,$ 2.04,$ 2.06,$ 1.69
