,0,1,2,3,4
0,[1],Fiscal 2023 includes incremental sales attributable to the 53rd week.,,,
1,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions","Feb. 03, 2024","Feb. 03, 2024","Jan. 28, 2023","Jan. 29, 2022"
3,Net sales,"$ 14,889",[1],"$ 15,616","$ 16,670"
4,Cost of goods sold and occupancy expenses,9114,,10257,10033
5,Gross profit,5775,,5359,6637
6,Operating expenses,5215,,5428,5827
7,Operating income (loss),560,,(69),810
8,Loss on extinguishment of debt,0,,0,325
9,Interest expense,90,,88,167
10,Interest income,(86),,(18),(5)
11,"Income (Loss) from Continuing Operations before Income Taxes, Noncontrolling Interest",556,,(139),323
12,Income tax expense,54,,63,67
13,Net income (loss),$ 502,,$ (202),$ 256
14,Weighted-average number of shares—basic,370,,367,376
15,Weighted-average number of shares—diluted,376,,367,383
16,Earnings (loss) per share—basic,$ 1.36,,$ (0.55),$ 0.68
17,Earnings (loss) per share—diluted,$ 1.34,,$ (0.55),$ 0.67
18,,,,,
19,[1] Fiscal 2023 includes incremental sales attributable to the 53rd week.,[1] Fiscal 2023 includes incremental sales attributable to the 53rd week.,[1] Fiscal 2023 includes incremental sales attributable to the 53rd week.,[1] Fiscal 2023 includes incremental sales attributable to the 53rd week.,[1] Fiscal 2023 includes incremental sales attributable to the 53rd week.
