,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions,"Jan. 28, 2023","Jan. 29, 2022","Jan. 30, 2021"
0,Net sales,"$ 15,616,000,000","$ 16,670,000,000","$ 13,800,000,000"
1,Cost of goods sold and occupancy expenses,10257000000,10033000000,9095000000
2,Gross profit,5359000000,6637000000,4705000000
3,Operating expenses,5428000000,5827000000,5567000000
4,Operating income (loss),"(69,000,000)",810000000,"(862,000,000)"
5,Loss on extinguishment of debt,0,325000000,58000000
6,Interest expense,88000000,167000000,192000000
7,Interest income,"(18,000,000)","(5,000,000)","(10,000,000)"
8,Income (loss) before income taxes,"(139,000,000)",323000000,"(1,102,000,000)"
9,Income tax expense (benefit),63000000,67000000,"(437,000,000)"
10,Net income (loss),"$ (202,000,000)","$ 256,000,000","$ (665,000,000)"
11,Weighted-average number of shares—basic,367,376,374
12,Weighted-average number of shares—diluted,367,383,374
13,Earnings (loss) per share—basic,$ (0.55),$ 0.68,$ (1.78)
14,Earnings (loss) per share—diluted,$ (0.55),$ 0.67,$ (1.78)
