,0,1,2,3,4,5
0,[1],"(1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.",,,,
1,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data, unless otherwise specified","Jan. 31, 2015","Jan. 31, 2015","Feb. 01, 2014","Feb. 01, 2014","Feb. 02, 2013"
3,Net sales,"$ 16,435",,"$ 16,148",,"$ 15,651"
4,Cost of goods sold and occupancy expenses,10146,,9855,,9480
5,Gross profit,6289,,6293,,6171
6,Operating expenses,4206,,4144,,4229
7,Operating income,2083,,2149,,1942
8,Interest expense,75,,61,,87
9,Interest income,(5),,(5),,(6)
10,Income before income taxes,2013,,2093,,1861
11,Income taxes,751,,813,,726
12,Net income,"$ 1,262",,"$ 1,280",,"$ 1,135"
13,Weighted-average number of shares—basic (in shares),435,,461,,482
14,Weighted-average number of shares - diluted (in shares),440,,467,,488
15,Earnings per share - basic (in dollars per share),$ 2.90,[1],$ 2.78,[1],$ 2.35
16,Earnings per share - diluted (in dollars per share),$ 2.87,[1],$ 2.74,[1],$ 2.33
17,,,,,,
18,"[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.","[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.","[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.","[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.","[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year.","[1]  (1)Earnings per share was computed individually for each of the periods presented; therefore, the sum of the earnings per share amounts for the quarters may not equal the total for the year."
