,0,1,2,3,4
0,[1],The U.S. is the only country which constitutes greater than 10% of net sales to external customers,,,
1,Consolidated Statements of Income - USD ($)  $ in Thousands,Consolidated Statements of Income - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements of Income - USD ($)  $ in Thousands,Consolidated Statements of Income - USD ($)  $ in Thousands,"Dec. 26, 2020","Dec. 28, 2019","Dec. 29, 2018"
3,Income Statement [Abstract],,,,
4,Net sales,[1],"$ 4,186,573","$ 3,757,505","$ 3,347,444"
5,Cost of goods sold,,1705237,1523529,1367725
6,Gross profit,,2481336,2233976,1979719
7,Advertising expense,,151166,164456,155394
8,"Selling, general and administrative expenses",,570245,518568,478177
9,Research and development expense,,705685,605366,567805
10,Total operating expense,,1427096,1288390,1201376
11,Operating income,,1054240,945586,778343
12,Other income (expense):,,,,
13,Interest income,,37002,52817,47147
14,Foreign currency gains (losses),,2825,"(16,799)","(7,616)"
15,Other income,,9343,5618,5373
16,Total other income (expense),,49170,41636,44904
17,Income before income taxes,,1103410,987222,823247
18,Income tax provision (benefit): (Note 6),,,,
19,Current,,104471,123073,93424
20,Deferred,,6615,"(88,337)",35743
21,Income tax provision (benefit),,111086,34736,129167
22,Net income,,"$ 992,324","$ 952,486","$ 694,080"
23,Basic net income per share (Note 10),,$ 5.19,$ 5.01,$ 3.68
24,Diluted net income per share (Note 10),,$ 5.17,$ 4.99,$ 3.66
25,,,,,
26,[1] The U.S. is the only country which constitutes greater than 10% of net sales to external customers,[1] The U.S. is the only country which constitutes greater than 10% of net sales to external customers,[1] The U.S. is the only country which constitutes greater than 10% of net sales to external customers,[1] The U.S. is the only country which constitutes greater than 10% of net sales to external customers,
