,"CONSOLIDATED STATEMENTS OF EARNINGS - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF EARNINGS - USD ($)  shares in Millions, $ in Millions","Jan. 28, 2024","Jan. 29, 2023","Jan. 30, 2022"
0,Income Statement [Abstract],,,
1,Net sales,"$ 152,669","$ 157,403","$ 151,157"
2,Cost of sales,101709,104625,100325
3,Gross profit,50960,52778,50832
4,Operating expenses:,,,
5,"Selling, general and administrative",26598,26284,25406
6,Depreciation and amortization,2673,2455,2386
7,Total operating expenses,29271,28739,27792
8,Operating income,21689,24039,23040
9,Interest and other (income) expense:,,,
10,"Interest income and other, net",(178),(55),(44)
11,Interest expense,1943,1617,1347
12,"Interest and other, net",1765,1562,1303
13,Earnings before provision for income taxes,19924,22477,21737
14,Provision for income taxes,4781,5372,5304
15,Net earnings,"$ 15,143","$ 17,105","$ 16,433"
16,Basic weighted average common shares (in shares),999,1022,1054
17,Basic earnings per share (in dollars per share),$ 15.16,$ 16.74,$ 15.59
18,Diluted weighted average common shares (in shares),1002,1025,1058
19,Diluted earnings per share (in dollars per share),$ 15.11,$ 16.69,$ 15.53
