,0,1,2,3,4
0,[1],Revenue is attributed to geographic regions based on location of customer.,,,
1,Consolidated Statements Of Operations - USD ($)  $ in Thousands,Consolidated Statements Of Operations - USD ($)  $ in Thousands,12 Months Ended,12 Months Ended,12 Months Ended
2,Consolidated Statements Of Operations - USD ($)  $ in Thousands,Consolidated Statements Of Operations - USD ($)  $ in Thousands,"Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
3,Revenue:,,,,
4,Motorcycles and Related Products,[1],"$ 5,308,744","$ 5,567,681","$ 5,258,290"
5,Financial Services,[1],686658,660827,641582
6,Total revenue,,5995402,6228508,5899872
7,Costs and expenses:,,,,
8,Motorcycles and Related Products cost of goods sold,,3356284,3542601,3395918
9,Financial Services interest expense,,161983,164476,165491
10,Financial Services provision for credit losses,,101345,80946,60008
11,"Selling, administrative and engineering expense",,1220095,1159502,1124753
12,Total costs and expenses,,4839707,4947525,4746170
13,Operating income,,1155695,1280983,1153702
14,Investment income,,6585,6499,5859
15,Interest expense,,12117,4162,45256
16,Income before provision for income taxes,,1150163,1283320,1114305
17,Provision for income taxes,,397956,438709,380312
18,Income from continuing operations,,752207,844611,733993
19,Net income,,"$ 752,207","$ 844,611","$ 733,993"
20,Earnings per common share from continuing operations:,,,,
21,Basic (in dollars per share),,$ 3.71,$ 3.90,$ 3.30
22,Diluted (in dollars per share),,3.69,3.88,3.28
23,Earnings per common share:,,,,
24,Basic (in dollars per share),,3.71,3.90,3.30
25,Diluted (in dollars per share),,3.69,3.88,3.28
26,Cash dividends per common share (in dollars per share),,$ 1.24,$ 1.1,$ 0.84
27,,,,,
28,[1] Revenue is attributed to geographic regions based on location of customer.,[1] Revenue is attributed to geographic regions based on location of customer.,[1] Revenue is attributed to geographic regions based on location of customer.,[1] Revenue is attributed to geographic regions based on location of customer.,[1] Revenue is attributed to geographic regions based on location of customer.
