,CONSOLIDATED STATEMENT OF OPERATIONS (USD $),12 Months Ended,12 Months Ended,12 Months Ended
,CONSOLIDATED STATEMENT OF OPERATIONS (USD $),"Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2010"
0,Consolidated Statement of Operations,,,
1,Product sales,"$ 29,812,000,000","$ 28,745,000,000","$ 25,242,000,000"
2,Service sales,7853000000,7784000000,7108000000
3,Net Sales,37665000000,36529000000,32350000000
4,"Costs, expenses and other",,,
5,Cost of products sold,22929000000,23220000000,19903000000
6,Cost of services sold,5362000000,5336000000,4818000000
7,Cost of products and services sold,28291000000,28556000000,24721000000
8,"Selling, general and administrative expenses",5218000000,5399000000,4618000000
9,Other (income) expense,"(70,000,000)","(84,000,000)","(97,000,000)"
10,Interest and other financial charges,351000000,376000000,386000000
11,"Cost, operating and non-operating expenses",33790000000,34247000000,29628000000
12,Income from continuing operations before taxes,3875000000,2282000000,2722000000
13,Tax expense,944000000,417000000,765000000
14,Income from continuing operations after taxes,2931000000,1865000000,1957000000
15,Income from discontinued operations after taxes,0,209000000,78000000
16,Net income,2931000000,2074000000,2035000000
17,Less: Net income attributable to the noncontrolling interest,5000000,7000000,13000000
18,Net income attributable to Honeywell,2926000000,2067000000,2022000000
19,Amounts attributable to Honeywell,,,
20,Income from continuing operations less net income attributable to the noncontrolling interest,2926000000,1858000000,1944000000
21,Income from discontinued operations,0,209000000,78000000
22,Net income attributable to Honeywell,"$ 2,926,000,000","$ 2,067,000,000","$ 2,022,000,000"
23,Earnings per share continuing operations - basic:,$ 3.74,$ 2.38,$ 2.51
24,Earnings per share discontinued operations - basic:,$ 0,$ 0.27,$ 0.10
25,"Earnings per share: Basic, Total",$ 3.74,$ 2.65,$ 2.61
26,Earnings per share continuing operations - assuming dilution:,$ 3.69,$ 2.35,$ 2.49
27,Earnings per share discontinued operations - assuming dilution:,$ 0,$ 0.26,$ 0.10
28,"Earnings per share - Assuming dilution, Total",$ 3.69,$ 2.61,$ 2.59
29,Cash dividends per share of common stock,$ 1.53,$ 1.37,$ 1.21
