,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings - USD ($)  shares in Millions, $ in Millions","Oct. 31, 2018","Oct. 31, 2017","Oct. 31, 2016"
0,Net revenue:,,,
1,Products,"$ 19,504","$ 17,597","$ 18,843"
2,Services,10901,10878,11073
3,Financing income,447,396,364
4,Total net revenue,30852,28871,30280
5,Costs and expenses:,,,
6,Cost of products,14079,12715,13040
7,Cost of services,7203,7197,7218
8,Financing interest,278,265,249
9,Research and development,1663,1486,1714
10,"Selling, general and administrative",4851,5006,5380
11,Amortization of intangible assets,294,321,272
12,Impairment of goodwill,88,0,0
13,Restructuring charges,19,417,417
14,Transformation costs,425,359,0
15,Disaster charges,0,93,0
16,Acquisition and other related charges,82,203,145
17,Separation costs,12,248,362
18,Defined benefit plan settlement charges and remeasurement (benefit),0,(64),0
19,Gain on H3C and MphasiS divestitures,0,0,"(2,420)"
20,Total costs and expenses,28994,28246,26377
21,Earnings from continuing operations,1858,625,3903
22,"Interest and other, net",(274),(327),(284)
23,Tax indemnification adjustments,"(1,354)",(3),317
24,Earnings (loss) from equity interests,38,(23),(76)
25,Earnings from continuing operations before taxes,268,272,3860
26,Benefit (provision) for taxes,1744,164,(623)
27,Net earnings from continuing operations,2012,436,3237
28,Net (loss) earnings from discontinued operations,(104),(92),(76)
29,Net earnings,"$ 1,908",$ 344,"$ 3,161"
30,Basic,,,
31,Continuing operations (in dollars per share),$ 1.32,$ 0.26,$ 1.89
32,Discontinued operations (in dollars per share),(0.07),(0.05),(0.05)
33,Total basic net earnings (loss) per share (in dollars per share),1.25,0.21,1.84
34,Diluted,,,
35,Continuing operations (in dollars per share),1.30,0.26,1.86
36,Discontinued operations (in dollars per share),(0.07),(0.05),(0.04)
37,Total diluted net earnings (loss) per share (in dollars per share),1.23,0.21,1.82
38,Cash dividends declared per share (in dollars per share),$ 0.4875,$ 0.26,$ 0.22
39,Weighted-average shares used to compute net earnings per share:,,,
40,Basic (in shares),1529,1646,1715
41,Diluted (in shares),1553,1674,1739
