,0,1,2,3,4
0,[1],Net sales are attributed to countries based on the location of the seller.,,,
1,[2],Net sales are attributed to countries based on the location of the reportable segment making the sale.,,,
2,Consolidated Statement Of Operations - USD ($)  $ in Millions,Consolidated Statement Of Operations - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
3,Consolidated Statement Of Operations - USD ($)  $ in Millions,Consolidated Statement Of Operations - USD ($)  $ in Millions,"Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
4,Net sales,"[1],[2]","$ 18,916","$ 21,161","$ 19,363"
5,COSTS AND EXPENSES,,,,
6,Cost of products sold,,13629,15143,13832
7,Selling and administrative expenses,,1360,1293,1385
8,"Depreciation, amortization and cost of timber harvested",,1432,1040,1097
9,Distribution expenses,,1575,1783,1444
10,Taxes other than payroll and income taxes,,154,148,139
11,"Restructuring and other charges, net",,99,89,509
12,Net (gains) losses on sales and impairments of businesses,,0,76,(7)
13,Net (gains) losses on sales of equity method investments,,0,10,(204)
14,Net (gains) losses on mark to market investments,,0,(65),32
15,"Interest expense, net",,231,325,337
16,Non-operating pension (income) expense,,54,(192),(200)
17,Earnings (loss) from continuing operations before income taxes and equity earnings,,382,1511,999
18,Income tax provision (benefit),,59,(236),188
19,"Equity earnings (loss), net of taxes",,(21),(6),2
20,EARNINGS (LOSS) FROM CONTINUING OPERATIONS,,302,1741,813
21,"Discontinued operations, net of taxes",,(14),(237),941
22,NET EARNINGS (LOSS),,288,1504,1754
23,Less: Net earnings (loss) attributable to noncontrolling interests,,0,0,2
24,NET EARNINGS (LOSS) ATTRIBUTABLE TO INTERNATIONAL PAPER COMPANY,,$ 288,"$ 1,504","$ 1,752"
25,BASIC EARNINGS (LOSS) PER SHARE ATTRIBUTABLE TO INTERNATIONAL PAPER COMPANY COMMON SHAREHOLDERS,,,,
26,Earnings (loss) from continuing operations,,$ 0.87,$ 4.79,$ 2.08
27,"Discontinued operations, net of taxes",,(0.04),(0.65),2.42
28,Net earnings (loss),,0.83,4.14,4.50
29,DILUTED EARNINGS (LOSS) PER SHARE ATTRIBUTABLE TO INTERNATIONAL PAPER COMPANY COMMON SHAREHOLDERS,,,,
30,Earnings (loss) from continuing operations,,0.86,4.74,2.07
31,"Discontinued operations, net of taxes",,(0.04),(0.64),2.40
32,Net earnings (loss),,$ 0.82,$ 4.10,$ 4.47
33,,,,,
34,[1] Net sales are attributed to countries based on the location of the seller. [2] Net sales are attributed to countries based on the location of the reportable segment making the sale.,[1] Net sales are attributed to countries based on the location of the seller. [2] Net sales are attributed to countries based on the location of the reportable segment making the sale.,[1] Net sales are attributed to countries based on the location of the seller. [2] Net sales are attributed to countries based on the location of the reportable segment making the sale.,[1] Net sales are attributed to countries based on the location of the seller. [2] Net sales are attributed to countries based on the location of the reportable segment making the sale.,
