,"Consolidated Statement of Earnings (USD $) In Thousands, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statement of Earnings (USD $) In Thousands, except Per Share data","Dec. 31, 2010","Dec. 31, 2009","Dec. 31, 2008"
0,Consolidated Statement of Earnings [Abstract],,,
1,"Operating revenues, excluding fuel surcharge revenues","$ 3,277,218","$ 2,877,052","$ 3,001,531"
2,Fuel surcharge revenues,516267,326269,730412
3,Total operating revenues,3793485,3203321,3731943
4,Operating expenses:,,,
5,Rents and purchased transportation,1711204,1398109,1479234
6,"Salaries, wages and employee benefits",911028,798272,859588
7,Fuel and fuel taxes,343700,273521,520647
8,Depreciation and amortization,197062,189045,202288
9,Operating supplies and expenses,152500,151887,158202
10,Insurance and claims,48280,50797,60772
11,"General and administrative expenses, net of asset dispositions",37017,47407,41363
12,Operating taxes and licenses,26895,28014,32162
13,Communication and utilities,18174,18298,19269
14,Total operating expenses,3445860,2955350,3373525
15,Operating income,347625,247971,358418
16,Interest income,75,70,890
17,Interest expense,28006,27429,35337
18,Equity in operations of affiliated company,,"(3,456)",1735
19,Earnings before income taxes,319694,224068,322236
20,Income taxes,120077,87633,121643
21,Net earnings,"$ 199,617","$ 136,435","$ 200,593"
22,Weighted average basic shares outstanding (in Shares),124712,126676,125416
23,Basic earnings per share (in Dollars per share),$ 1.60,$ 1.08,$ 1.60
24,Weighted average diluted shares outstanding (in Shares),127767,129462,128533
25,Diluted earnings per share (in Dollars per share),$ 1.56,$ 1.05,$ 1.56
26,Dividends declared per common share (in Dollars per share),$ 0.48,$ 0.44,$ 0.40
