,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Earnings (USD $) In Millions, except Per Share data","Jan. 03, 2010","Jan. 03, 2010.1","Dec. 28, 2008","Dec. 28, 2008.1","Dec. 30, 2007","Dec. 30, 2007.1"
0,Statements of Earnings [Abstract],,,,,,
1,Sales to customers,"$ 61,897","$ 61,897","$ 63,747","$ 63,747","$ 61,095","$ 61,095"
2,Cost of products sold,18447,18447,18511,18511,17751,17751
3,Gross profit,43450,43450,45236,45236,43344,43344
4,"Selling, marketing and administrative expenses",19801,19801,21490,21490,20451,20451
5,Research expense,6986,6986,7577,7577,7680,7680
6,Purchased in-process research and development (Note 20),0,0,181,181,807,807
7,Interest income,(90),(90),(361),(361),(452),(452)
8,"Interest expense, net of portion capitalized (Note 4)",451,451,435,435,296,296
9,"Other (income) expense, net",(526),(526),"(1,015)","(1,015)",534,534
10,Restructuring (Note 22),1073,1073,0,0,745,745
11,Earnings before provision for taxes on income,15755,15755,16929,16929,13283,13283
12,Provision for taxes on income (Note 8),3489,3489,3980,3980,2707,2707
13,Net earnings,"$ 12,266","$ 12,266","$ 12,949","$ 12,949","$ 10,576","$ 10,576"
14,Basic net earnings per share (Notes 1 and 15),$ 4.45,$ 4.45,$ 4.62,$ 4.62,$ 3.67,$ 3.67
15,Diluted net earnings per share (Notes 1 and 15),$ 4.4,$ 4.4,$ 4.57,$ 4.57,$ 3.63,$ 3.63
16,Cash dividends per share,$ 1.93,$ 1.93,$ 1.795,$ 1.795,$ 1.62,$ 1.62
17,Basic average shares outstanding (Notes 1 and 15),2759.5,2759.5,2802.5,2802.5,2882.9,2882.9
18,Diluted average shares outstanding (Notes 1 and 15),2789.1,2789.1,2835.6,2835.6,2910.7,2910.7
