,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Income - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2018","Dec. 31, 2017","Dec. 31, 2016"
0,Revenue,,,
1,Investment banking fees,"$ 7,550","$ 7,412","$ 6,572"
2,Principal transactions,12059,11347,11566
3,Lending- and deposit-related fees,6052,5933,5774
4,"Asset management, administration and commissions",17118,16287,15364
5,Investment securities gains/(losses),(395),(66),141
6,Mortgage fees and related income,1254,1616,2491
7,Card income,4989,4433,4779
8,Other income,5343,3646,3799
9,Noninterest revenue,53970,50608,50486
10,Interest income,77442,64372,55901
11,Interest expense,22383,14275,9818
12,Net interest income,55059,50097,46083
13,Total net revenue,109029,100705,96569
14,Provision for credit losses,4871,5290,5361
15,Noninterest expense,,,
16,Compensation expense,33117,31208,30203
17,Occupancy expense,3952,3723,3638
18,"Technology, communications and equipment expense",8802,7715,6853
19,Professional and outside services,8502,7890,7526
20,Marketing,3290,2900,2897
21,Other expense,5731,6079,5555
22,Total noninterest expense,63394,59515,56672
23,Income before income tax expense,40764,35900,34536
24,Income tax expense,8290,11459,9803
25,Net income,32474,24441,24733
26,Net income applicable to common stockholders,"$ 30,709","$ 22,567","$ 22,834"
27,Net income per common share data,,,
28,Basic earnings per share (in dollars per share),$ 9.04,$ 6.35,$ 6.24
29,Diluted earnings per share (in dollars per share),$ 9.00,$ 6.31,$ 6.19
30,Weighted-average basic shares (in shares),3396.4,3551.6,3658.8
31,Weighted-average diluted shares (in shares),3414.0,3576.8,3690.0
