,"Consolidated Statements Of Earnings - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements Of Earnings - USD ($)  shares in Millions, $ in Millions","Feb. 03, 2024","Jan. 28, 2023","Jan. 29, 2022"
0,Income Statement [Abstract],,,
1,Net sales,"$ 14,219","$ 15,092","$ 14,402"
2,"Credit card revenues, net",474,438,387
3,Total revenues,14693,15530,14789
4,Cost of sales and related buying and occupancy costs,"(9,303)","(10,019)","(9,344)"
5,"Selling, general and administrative expenses","(4,855)","(5,046)","(4,953)"
6,Canada wind-down costs,284,0,0
7,Earnings before interest and income taxes,251,465,492
8,"Interest expense, net",(104),(128),(246)
9,Earnings before income taxes,147,337,246
10,Income tax expense,(13),(92),(68)
11,Net earnings,$ 134,$ 245,$ 178
12,Earnings per share:,,,
13,Basic (in dollars per share),$ 0.83,$ 1.53,$ 1.12
14,Diluted (in dollars per share),$ 0.82,$ 1.51,$ 1.10
15,Weighted-average shares outstanding:,,,
16,Basic (in shares),161.8,160.1,159.0
17,Diluted (in shares),163.4,162.1,162.5
