,0,1,2,3,4,5,6
0,[1],"Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.",,,,,
1,"Consolidated Income Statement (USD $) In Millions, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Income Statement (USD $) In Millions, except Per Share data, unless otherwise specified","Dec. 31, 2013","Dec. 31, 2013","Dec. 31, 2012","Dec. 31, 2012","Dec. 31, 2011","Dec. 31, 2011"
3,Income Statement [Abstract],,,,,,
4,Net Sales,"$ 21,152",[1],"$ 21,063",[1],"$ 20,846",[1]
5,Cost of products sold,13912,,14314,,14694,
6,Gross Profit,7240,,6749,,6152,
7,"Marketing, research and general expenses",4028,,4069,,3761,
8,"Other (income) and expense, net",4,,(6),,(51),
9,Operating Profit,3208,,2686,,2442,
10,Interest income,20,,18,,18,
11,Interest expense,(283),,(284),,(277),
12,Income Before Income Taxes and Equity Interests,2945,,2420,,2183,
13,Provision for income taxes,(929),,(768),,(660),
14,Income Before Equity Interests,2016,,1652,,1523,
15,Share of net income of equity companies,205,,176,,161,
16,Net Income,2221,,1828,,1684,
17,Net income attributable to noncontrolling interests,(79),,(78),,(93),
18,Net Income Attributable to Kimberly-Clark Corporation,"$ 2,142",,"$ 1,750",,"$ 1,591",
19,Per Share Basis,,,,,,
20,Basic,$ 5.58,,$ 4.45,,$ 4.02,
21,Diluted,$ 5.53,,$ 4.42,,$ 3.99,
22,Cash Dividends Declared,$ 3.24,,$ 2.96,,$ 2.80,
23,,,,,,,
24,"[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively.","[1]  Net sales in the United States to third parties totaled $9,783, $9,720 and $9,715 in 2013, 2012 and 2011, respectively."
