,0,1,2,3,4,5,6
0,[1],Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,,,,,
1,"Consolidated Statements Of Earnings (USD $) In Thousands, except Per Share data, unless otherwise specified",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
2,"Consolidated Statements Of Earnings (USD $) In Thousands, except Per Share data, unless otherwise specified","Feb. 28, 2013","Feb. 28, 2013","Feb. 29, 2012","Feb. 29, 2012","Feb. 28, 2011","Feb. 28, 2011"
3,SALES AND OPERATING REVENUES:,,,,,,
4,NET SALES AND OPERATING REVENUES,"$ 10,962,818",,"$ 10,003,599",,"$ 8,975,554",
5,Cost of sales,9498456,,8624838,,7674326,
6,GROSS PROFIT,1464362,,1378761,,1301228,
7,CARMAX AUTO FINANCE INCOME,299267,,262185,,219983,
8,"Selling, general and administrative expenses",1031034,,940786,,878805,
9,Interest expense,32357,,33714,,34680,
10,Other income,1113,,464,,480,
11,Earnings before income taxes,701351,,666910,,608206,
12,Income tax provision,267067,,253115,,230711,
13,NET EARNINGS,434284,,413795,,377495,
14,WEIGHTED AVERAGE COMMON SHARES:,,,,,,
15,Basic,228095,,226282,,223449,
16,Diluted,231823,,230721,,227601,
17,NET EARNINGS PER SHARE:,,,,,,
18,Basic,$ 1.90,,$ 1.83,,$ 1.68,
19,Diluted,$ 1.87,,$ 1.79,,$ 1.65,
20,Used Vehicle Sales [Member],,,,,,
21,SALES AND OPERATING REVENUES:,,,,,,
22,NET SALES AND OPERATING REVENUES,8746965,,7826911,,7210017,
23,Percentage of Sales,,,,,,
24,Item as a percent of net sales and operating revenues,79.80%,[1],78.20%,[1],80.30%,[1]
25,New Vehicle Sales [Member],,,,,,
26,SALES AND OPERATING REVENUES:,,,,,,
27,NET SALES AND OPERATING REVENUES,207726,,200584,,198532,
28,Percentage of Sales,,,,,,
29,Item as a percent of net sales and operating revenues,1.90%,[1],2.00%,[1],2.20%,[1]
30,Wholesale Vehicle Sales [Member],,,,,,
31,SALES AND OPERATING REVENUES:,,,,,,
32,NET SALES AND OPERATING REVENUES,1759555,,1721647,,1301703,
33,Percentage of Sales,,,,,,
34,Item as a percent of net sales and operating revenues,16.10%,[1],17.20%,[1],14.50%,[1]
35,Other Sales And Revenues [Member],,,,,,
36,SALES AND OPERATING REVENUES:,,,,,,
37,NET SALES AND OPERATING REVENUES,"$ 248,572",,"$ 254,457",,"$ 265,302",
38,Percentage of Sales,,,,,,
39,Item as a percent of net sales and operating revenues,2.30%,[1],2.50%,[1],3.00%,[1]
40,Net Sales And Operating Revenues [Member],,,,,,
41,Percentage of Sales,,,,,,
42,Item as a percent of net sales and operating revenues,100.00%,[1],100.00%,[1],100.00%,[1]
43,Cost Of Sales [Member],,,,,,
44,Percentage of Sales,,,,,,
45,Item as a percent of net sales and operating revenues,86.60%,[1],86.20%,[1],85.50%,[1]
46,Gross Profit [Member],,,,,,
47,Percentage of Sales,,,,,,
48,Item as a percent of net sales and operating revenues,13.40%,[1],13.80%,[1],14.50%,[1]
49,Net Income Loss From Financing [Member],,,,,,
50,Percentage of Sales,,,,,,
51,Item as a percent of net sales and operating revenues,2.70%,[1],2.60%,[1],2.50%,[1]
52,"Selling, General And Administrative Expenses [Member]",,,,,,
53,Percentage of Sales,,,,,,
54,Item as a percent of net sales and operating revenues,9.40%,[1],9.40%,[1],9.80%,[1]
55,Interest Expense [Member],,,,,,
56,Percentage of Sales,,,,,,
57,Item as a percent of net sales and operating revenues,0.30%,[1],0.30%,[1],0.40%,[1]
58,Other Income [Member],,,,,,
59,Percentage of Sales,,,,,,
60,Item as a percent of net sales and operating revenues,0.00%,[1],0.00%,[1],0.00%,[1]
61,Earnings Before Income Taxes [Member],,,,,,
62,Percentage of Sales,,,,,,
63,Item as a percent of net sales and operating revenues,6.40%,[1],6.70%,[1],6.80%,[1]
64,Income Tax Provision [Member],,,,,,
65,Percentage of Sales,,,,,,
66,Item as a percent of net sales and operating revenues,2.40%,[1],2.50%,[1],2.60%,[1]
67,Net Earnings [Member],,,,,,
68,Percentage of Sales,,,,,,
69,Item as a percent of net sales and operating revenues,4.00%,[1],4.10%,[1],4.20%,[1]
70,,,,,,,
71,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.,[1]  Percents are calculated as a percentage of net sales and operating revenues and may not equal totals due to rounding.
