,0,1,2,3,4,5,6,7
0,[1],Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,,,,,,
1,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,
2,"CONSOLIDATED STATEMENTS OF INCOME (USD $) In Millions, except Per Share data","Dec. 31, 2009","Dec. 31, 2009","Dec. 31, 2008","Dec. 31, 2008","Dec. 31, 2007","Dec. 31, 2007",
3,NET OPERATING REVENUES,"$ 30,990",,"$ 31,944",,"$ 28,857",,
4,Cost of goods sold,11088,,11374,,10406,,
5,GROSS PROFIT,19902,,20570,,18451,,
6,"Selling, general and administrative expenses",11358,,11774,,10945,,
7,Other operating charges,313,,350,,254,,
8,OPERATING INCOME,8231,,8446,,7252,,
9,Interest income,249,,333,,236,,
10,Interest expense,355,,438,,456,,
11,Equity income (loss) - net,781,,(874),,668,,
12,Other income (loss) - net,40,,39,,219,,
13,INCOME BEFORE INCOME TAXES,8946,,7506,,7919,,
14,Income taxes,2040,,1632,,1892,,
15,CONSOLIDATED NET INCOME,6906,,5874,,6027,,
16,Less: Net income attributable to noncontrolling interests,82,,67,,46,,
17,NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,"$ 6,824",,"$ 5,807",,"$ 5,981",,
18,BASIC NET INCOME PER SHARE (in dollars per share),$ 2.95,[1],$ 2.51,[1],$ 2.59,[1],
19,DILUTED NET INCOME PER SHARE (in dollars per share),$ 2.93,[1],$ 2.49,[1],$ 2.57,[1],
20,AVERAGE SHARES OUTSTANDING (in shares),2314,,2315,,2313,,
21,Effect of dilutive securities (in shares),15,,21,,18,,
22,AVERAGE SHARES OUTSTANDING ASSUMING DILUTION (in shares),2329,,2336,,2331,,
23,,,,,,,,
24,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Basic net income per share and diluted net income per share are calculated based on net income attributable to shareowners of The Coca-Cola Company.
