,0,1,2,3,4
0,[1],Calculated based on net income attributable to shareowners of The Coca-Cola Company.,,,
1,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions","CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
2,"CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions","CONSOLIDATED STATEMENTS OF INCOME - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2015","Dec. 31, 2014","Dec. 31, 2013"
3,NET OPERATING REVENUES,,"$ 44,294","$ 45,998","$ 46,854"
4,Cost of goods sold,,17482,17889,18421
5,GROSS PROFIT,,26812,28109,28433
6,"Selling, general and administrative expenses",,16427,17218,17310
7,Other operating charges,,1657,1183,895
8,OPERATING INCOME,,8728,9708,10228
9,Interest income,,613,594,534
10,Interest expense,,856,483,463
11,Equity income (loss) - net,,489,769,602
12,Other income (loss) - net,,631,"(1,263)",576
13,INCOME BEFORE INCOME TAXES,,9605,9325,11477
14,Income taxes,,2239,2201,2851
15,CONSOLIDATED NET INCOME,,7366,7124,8626
16,Less: Net income attributable to noncontrolling interests,,15,26,42
17,NET INCOME ATTRIBUTABLE TO SHAREOWNERS OF THE COCA-COLA COMPANY,,"$ 7,351","$ 7,098","$ 8,584"
18,BASIC NET INCOME PER SHARE (in dollars per share),[1],$ 1.69,$ 1.62,$ 1.94
19,DILUTED NET INCOME PER SHARE (in dollars per share),[1],$ 1.67,$ 1.60,$ 1.90
20,AVERAGE SHARES OUTSTANDING (in shares),,4352,4387,4434
21,Effect of dilutive securities (in shares),,53,63,75
22,AVERAGE SHARES OUTSTANDING ASSUMING DILUTION (in shares),,4405,4450,4509
23,,,,,
24,[1] Calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Calculated based on net income attributable to shareowners of The Coca-Cola Company.,[1] Calculated based on net income attributable to shareowners of The Coca-Cola Company.
