,Consolidated Statements of Operations - USD ($)  $ in Millions,12 Months Ended,12 Months Ended,12 Months Ended
,Consolidated Statements of Operations - USD ($)  $ in Millions,"Dec. 31, 2020","Dec. 31, 2019","Dec. 31, 2018"
0,Income Statement [Abstract],,,
1,Net trade sales,"$ 4,280.2","$ 4,752.5","$ 4,269.5"
2,Cost of goods sold,3385.7,3701.9,3380.8
3,Gross profit,894.5,1050.6,888.7
4,Selling and administrative expenses,424.4,469.7,425.1
5,Amortization of intangibles,65.2,63.3,20.5
6,Impairments,29.4,7.8,5.4
7,"Other (income) expense, net",(25.0),(3.6),0.8
8,Earnings before interest and income taxes,400.5,513.4,436.9
9,Interest expense,82.7,90.7,60.9
10,Interest income,3.1,7.4,8.4
11,Earnings before income taxes,320.9,430.1,384.4
12,Income taxes,73.2,96.2,78.3
13,Net earnings (loss),247.7,333.9,306.1
14,"(Earnings) attributable to noncontrolling interest, net of tax",(0.1),(0.1),(0.2)
15,"Net earnings (loss) attributable to Leggett & Platt, Inc. common shareholders",$ 247.6,$ 333.8,$ 305.9
16,"Net earnings per share attributable to Leggett & Platt, Inc. common shareholders",,,
17,Basic (in dollars per share),$ 1.82,$ 2.48,$ 2.28
18,Diluted (in dollars per share),$ 1.82,$ 2.47,$ 2.26
