,"Consolidated Statements of Operations (USD $) In Millions, except Per Share data",12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statements of Operations (USD $) In Millions, except Per Share data","Dec. 31, 2009","Dec. 31, 2009.1","Dec. 31, 2008","Dec. 31, 2008.1","Dec. 31, 2007","Dec. 31, 2007.1"
0,Revenue,"$ 21,836.0","$ 21,836.0","$ 20,371.9","$ 20,371.9","$ 18,633.5","$ 18,633.5"
1,Cost of sales,4247.0,4247.0,4376.7,4376.7,4248.8,4248.8
2,Research and development,4326.5,4326.5,3840.9,3840.9,3486.7,3486.7
3,"Marketing, selling, and administrative",6892.5,6892.5,6626.4,6626.4,6095.1,6095.1
4,Acquired in-process research and development,90.0,90.0,4835.4,4835.4,745.6,745.6
5,"Asset impairments, restructuring, and other special charges",692.7,692.7,1974.0,1974.0,302.5,302.5
6,"Other - net, expense (income)",229.5,229.5,26.1,26.1,(122.0),(122.0)
7,"Cost of sales, operating expenses, and other-net",16478.2,16478.2,21679.5,21679.5,14756.7,14756.7
8,Income (loss) before income taxes,5357.8,5357.8,"(1,307.6)","(1,307.6)",3876.8,3876.8
9,Income taxes,1029.0,1029.0,764.3,764.3,923.8,923.8
10,Net income (loss),"$ 4,328.8","$ 4,328.8","$ (2,071.9)","$ (2,071.9)","$ 2,953.0","$ 2,953.0"
11,Earnings (loss) per share - basic and diluted,$ 3.94,$ 3.94,$ (1.89),$ (1.89),$ 2.71,$ 2.71
